MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
27.4,5.9,10.4,0.567,5.7,9.8,0.587,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.79,0.601,0.575,0.063,0.43,21.7,11,1.8,19,29.6,6.1,4.6,10.6,0.251
35.1,5.8,12.8,0.449,2.7,5.9,0.466,3,6.9,0.435,3.2,3.8,0.834,1.842602041,4.091326531,3.1,5.2,1.5,0.1,2.6,1.7,17.7,-6.45,0.605,0.567,0.54,0.299,11.93196481,15.44281525,2.760703812,15.9,24.32961877,12.1,3.9,16,0.138
34.3,6,12.2,0.495,5,9.1,0.551,1,3.1,0.33,5,6.8,0.731,0.8,2.6,3.3,4.3,2.5,0.2,3.6,2.9,18.1,4.77,0.585,0.537,0.256,0.555,5.7,26.1,0.3,18.8,26.9,6.4,2.4,8.8,0.164
23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,0,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,5.63,0.555,0.571,0,0.4,18,5.4,11.2,14.4,17.7,1.6,1.9,3.5,0.185
29.4,4.8,11.1,0.435,3.8,8,0.48,1,3.1,0.321,3.5,4.2,0.826,0.6,2.5,3.2,3.3,1.5,0.1,2,2.2,14.1,1.92,0.539,0.48,0.278,0.377,6.4,26,0.3,13.4,26.8,10.5,6.4,16.9,0.165
33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.824,1.7,5.7,7.4,1.8,1.3,0.9,2,2.1,14.4,3.57,0.624,0.562,0.495,0.536,14.1,12.9,2.7,14.8,22.3,7.9,6.3,14.2,0.249
30.1,4.7,10.9,0.43,2.3,5.1,0.462,2.3,5.8,0.401,3.3,3.8,0.867,1.842602041,4.091326531,3.1,4.5,1.3,0.1,3.1,1.8,14.9,2.4,0.59,0.537,0.534,0.347,11.93196481,15.44281525,2.760703812,19.7,24.32961877,2.8,1.6,4.4,0.052
21.7,3,6,0.504,3,5.9,0.505,0,0,0,3.3,4.5,0.735,1.8,3.2,5,0.7,0.5,1.4,1.6,2.3,9.3,3.36,0.575,0.504,0.005,0.756,13.7,6.1,6.7,16.6,22.8,7.1,5.9,13,0.176
30,5.2,11.4,0.461,4.3,8.6,0.495,1,2.8,0.352,2.9,3.8,0.757,1.1,3.6,4.2,2.2,0.9,0.3,2,2.3,14.3,0.88,0.544,0.503,0.242,0.339,8.4,15.7,0.9,13.1,30.5,7.8,6,13.8,0.149
35.2,7.2,12.4,0.577,7.1,12.2,0.58,0.1,0.2,0,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2,2.4,3.1,18.6,2.11,0.594,0.579,0.014,0.546,19.3,5.6,3.5,13.5,23.7,10.9,13.7,24.6,0.304
