,Player,Draft_Yr,College,Career_PER,Position
211,Jeff McInnis,1996,University of North Carolina,12.6,Perimeter
212,Dante Cunningham,2009,Villanova University,11.1,Perimeter
213,P.J. Hairston,2014,University of North Carolina,7.6,Perimeter
214,Jon Brockman,2009,University of Washington,10.3,Interior
215,Luol Deng,2004,Duke University,15.4,Perimeter
216,Reggie Bullock,2013,University of North Carolina,11.2,Perimeter
217,Reggie Jackson,2011,Boston College,16.1,Perimeter
218,Robert Sacre,2012,Gonzaga University,10.8,Interior
219,Mike Bibby,1998,University of Arizona,16.1,Perimeter
220,Mateen Cleaves,2000,Michigan State University,8.5,Perimeter
221,Willie Green,2003,University of Detroit Mercy,11,Perimeter
222,Jared Jeffries,2002,Indiana University,9.6,Perimeter
223,Greivis Vasquez,2010,University of Maryland,13.7,Perimeter
224,Shandon Anderson,1996,University of Georgia,11.7,Perimeter
225,Jamal Crawford,2000,University of Michigan,15.1,Perimeter
226,Paul Millsap,2006,Louisiana Tech University,19.1,Interior
227,Maurice Taylor,1997,University of Michigan,13.1,Perimeter
228,Chris Douglas-Roberts,2008,University of Memphis,11.5,Perimeter
229,DeAndre Liggins,2011,University of Kentucky,7.3,Perimeter
230,Michael Kidd-Gilchrist,2012,University of Kentucky,13.7,Perimeter
231,Ryan Hollins,2006,"University of California, Los Angeles",11,Interior
232,Quincy Pondexter,2010,University of Washington,9.8,Perimeter
233,Gerald Henderson,2009,Duke University,13.4,Perimeter
234,Klay Thompson,2011,Washington State University,16.4,Perimeter
235,Evan Turner,2010,Ohio State University,12,Perimeter
236,Kyrie Irving,2011,Duke University,22.1,Perimeter
237,Nikola Vucevic,2011,University of Southern California,20.2,Interior
238,Carlos Boozer,2002,Duke University,19.5,Interior
239,Jeremy Evans,2010,Western Kentucky University,17.3,Perimeter
240,Brandon Bass,2005,Louisiana State University,15.3,Interior
241,Jason Hart,2000,Syracuse University,12.2,Perimeter
242,Sonny Weems,2008,University of Arkansas,10.1,Perimeter
243,Noah Vonleh,2014,Indiana University,11.8,Interior
244,E'Twaun Moore,2011,Purdue University,11.4,Perimeter
245,Antoine Walker,1996,University of Kentucky,16,Interior
246,Corey Benjamin,1998,Oregon State University,8.9,Perimeter
247,Kosta Koufos,2008,Ohio State University,15.5,Interior
248,Tim Hardaway,2013,University of Michigan,13.5,Perimeter
249,Derrick Williams,2011,University of Arizona,13.4,Perimeter
250,Tariq Abdul-Wahad,1997,San Jose State University,11.4,Perimeter
251,Brook Lopez,2008,Stanford University,20,Interior
252,Steve Novak,2006,Marquette University,12.7,Perimeter
253,Robin Lopez,2008,Stanford University,16.2,Interior
254,Quincy Douby,2006,Rutgers University,9.7,Perimeter
255,Will Solomon,2001,Clemson University,10.5,Perimeter
256,Chris Kaman,2003,Central Michigan University,14.9,Interior
