MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
25.5,3.6,8.2,0.439,2.2,4.6,0.472,1.4,3.6,0.396,4.1,5,0.816,0.6,2.1,2.8,1.3,0.6,0.1,1.7,1.8,12.7,-3.82,0.6,0.526,0.438,0.604,6.4,11.2,0.3,13.5,23.8,10,3,13,0.159
25.3,5.9,11.7,0.501,5.8,11.6,0.506,0,0.1,0,3.3,5.1,0.661,1.842602041,4.091326531,7,1.4,0.8,3.7,2,2.8,15.1,7.75,0.535,0.501,0.012,0.433,11.93196481,15.44281525,2.760703812,12.6,24.32961877,2.2,5.9,8.1,0.139
32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53,0.629,0.612,0.048,0.429,24.2,18.2,4.2,17,29.7,9.4,7.7,17.1,0.307
15.8,1.9,3.5,0.557,1.9,3.5,0.557,0,0,0,0.9,1.5,0.625,1.8,3,4.8,0.3,0.5,0.6,1,2.3,4.8,8.75,0.575,0.559,0.002,0.426,17.3,3.9,3.7,19.6,16.2,4.1,5,9.1,0.17
27.9,5.2,9.6,0.548,5.1,9.3,0.556,0.1,0.3,0,4.1,5.5,0.751,2.6,5.3,7.9,2,0.5,1.7,3.1,3.3,14.7,3.95,0.604,0.553,0.031,0.578,15.5,17.8,5.2,20.1,30.6,8.1,2.4,10.5,0.172
13,2.5,5.1,0.487,2.4,4.8,0.493,0.1,0.3,0,1.4,2.1,0.669,1.842602041,4.091326531,4.4,0.5,0.6,0.8,1.1,1.2,6.5,8.35,0.532,0.499,0.057,0.405,11.93196481,15.44281525,2.760703812,18.9,24.32961877,1.9,3.7,5.6,0.151
22,3.2,7.3,0.444,2.5,5.2,0.471,0.8,2,0.373,2.1,2.9,0.721,1.842602041,4.091326531,3.5,0.8,0.6,0.4,1.5,2.7,9.3,5.48,0.538,0.496,0.278,0.398,11.93196481,15.44281525,2.760703812,15.2,24.32961877,3.8,4.1,7.8,0.126
29.9,6.3,10.5,0.602,6.1,9.8,0.628,0.2,0.7,0.233,5.6,7.9,0.714,3,4,7.1,1.2,1,0.8,2.9,3,18.4,8.86,0.647,0.61,0.064,0.752,14.7,10.6,2.2,16.9,29.4,9.8,4.3,14,0.293
32,5.3,8.4,0.623,5.2,7.9,0.653,0.1,0.5,0.15,3.6,5.1,0.709,3,7.4,10.4,1.3,1.4,4.7,1,2,14.2,7.93,0.654,0.628,0.059,0.602,19,7.5,13.7,8.6,18.8,5.9,4.1,9.9,0.31
28.9,6.2,11.7,0.532,6.2,11.6,0.533,0,0.1,0,2.4,3.2,0.755,2,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,6.5,0.563,0.533,0.008,0.27,13.2,14,4.3,16,25.8,2,2.4,4.4,0.198
29.2,3.8,6,0.637,3.8,6,0.637,0,0,0,2.3,4,0.591,3.2,4.2,6,0.8,0.3,2.2,1.9,2.1,10,11.05,0.634,0.637,0,0.656,11.93196481,15.44281525,2.760703812,16.4,24.32961877,10.6,8.8,19.3,0.231
25.7,3.9,6.6,0.586,3.9,6.6,0.589,0,0,0,2.5,4.1,0.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,6.65,0.601,0.586,0.006,0.613,17,11.6,4.9,15.6,18.6,7,10,17.1,0.244
32.5,6.4,11,0.577,6.4,11,0.578,0,0,0,3,4.6,0.648,2.9,5.3,7.5,1.1,0.8,2.9,2.4,2.3,15.7,4.4,0.595,0.578,0.002,0.42,11.93196481,15.44281525,2.760703812,15.6,24.32961877,11.3,9.8,21.1,0.209
23.6,4.1,9.3,0.44,2.9,5.7,0.502,1.2,3.6,0.34,3.2,3.8,0.843,1.842602041,4.091326531,5.3,1,0.9,0.6,1.9,2,12.6,8.81,0.567,0.505,0.384,0.407,12.5,9.1,2,14.6,27,6.2,4.3,10.5,0.146
33.1,4.9,8.6,0.567,4.4,7.4,0.597,0.4,1.1,0.374,3.7,5.1,0.731,1.842602041,4.091326531,8.6,1.6,0.8,0.3,2.2,3.1,13.9,6.96,0.631,0.592,0.133,0.591,11.93196481,15.44281525,2.760703812,16.5,24.32961877,2.8,1,3.8,0.043
30.4,5,10.8,0.467,4.5,9.1,0.493,0.6,1.7,0.328,3.4,5.3,0.638,2.5,5.5,8,1.5,1.2,1.8,1.8,2.4,14,8.42,0.526,0.493,0.156,0.489,15.1,9.5,5.9,11.9,25.4,6.2,5.5,11.8,0.204
28,3.1,5.9,0.53,3.1,5.9,0.535,0,0.1,0,3.2,5.6,0.57,1.842602041,4.091326531,9.5,1.2,1.2,2.1,2.2,2.1,9.4,3.63,0.551,0.53,0.011,0.937,11.93196481,15.44281525,2.760703812,21.1,24.32961877,5.9,14.3,20.2,0.241
31,6.1,11.5,0.53,5.8,10.8,0.541,0.3,0.7,0.365,4.9,6.7,0.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,8.73,0.591,0.541,0.061,0.583,19.5,8,3,10.7,27.4,10.3,5.9,16.2,0.282
33,6.3,13.1,0.484,4.5,8.5,0.532,1.8,4.7,0.396,4.2,5,0.841,2.7,6.3,9,1,0.5,0.5,1.8,2.5,18.7,8.56,0.605,0.554,0.356,0.379,17.9,9.7,1.1,10.6,29.4,7.5,2.7,10.2,0.188
