Player,Draft_Yr,College,Career_PER
Bryce Drew,1998,Valparaiso University,9.6
Kyle Lowry,2006,Villanova University,18.5
Tyronn Lue,1998,University of Nebraska,13.2
Jamie Feick,1996,Michigan State University,12.4
Marcus Banks,2003,"University of Nevada, Las Vegas",12.2
Steven Adams,2013,University of Pittsburgh,16.7
Norris Cole,2011,Cleveland State University,9.2
Gordon Hayward,2010,Butler University,17.5
Chris Wilcox,2002,University of Maryland,15.5
Steve Nash,1996,Santa Clara University,20
Jason Maxiell,2005,University of Cincinnati,13
Jason Richardson,2001,Michigan State University,16.3
Daequan Cook,2007,Ohio State University,9.1
Terence Morris,2001,University of Maryland,9.9
Mike Dunleavy,2002,Duke University,13.9
Jeff McInnis,1996,University of North Carolina,12.6
Dante Cunningham,2009,Villanova University,11.1
P.J. Hairston,2014,University of North Carolina,7.6
Jon Brockman,2009,University of Washington,10.3
Luol Deng,2004,Duke University,15.4
Reggie Bullock,2013,University of North Carolina,11.2
Reggie Jackson,2011,Boston College,16.1
Robert Sacre,2012,Gonzaga University,10.8
Mike Bibby,1998,University of Arizona,16.1
Mateen Cleaves,2000,Michigan State University,8.5
Willie Green,2003,University of Detroit Mercy,11
Jared Jeffries,2002,Indiana University,9.6
Greivis Vasquez,2010,University of Maryland,13.7
Shandon Anderson,1996,University of Georgia,11.7
Jamal Crawford,2000,University of Michigan,15.1
Paul Millsap,2006,Louisiana Tech University,19.1
Maurice Taylor,1997,University of Michigan,13.1
Chris Douglas-Roberts,2008,University of Memphis,11.5
DeAndre Liggins,2011,University of Kentucky,7.3
Michael Kidd-Gilchrist,2012,University of Kentucky,13.7
Ryan Hollins,2006,"University of California, Los Angeles",11
Quincy Pondexter,2010,University of Washington,9.8
Gerald Henderson,2009,Duke University,13.4
Klay Thompson,2011,Washington State University,16.4
Evan Turner,2010,Ohio State University,12
Kyrie Irving,2011,Duke University,22.1
Nikola Vucevic,2011,University of Southern California,20.2
Carlos Boozer,2002,Duke University,19.5
Jeremy Evans,2010,Western Kentucky University,17.3
Brandon Bass,2005,Louisiana State University,15.3
Jason Hart,2000,Syracuse University,12.2
Sonny Weems,2008,University of Arkansas,10.1
Noah Vonleh,2014,Indiana University,11.8
E'Twaun Moore,2011,Purdue University,11.4
Antoine Walker,1996,University of Kentucky,16
Corey Benjamin,1998,Oregon State University,8.9
Kosta Koufos,2008,Ohio State University,15.5
Tim Hardaway,2013,University of Michigan,13.5
Derrick Williams,2011,University of Arizona,13.4
Tariq Abdul-Wahad,1997,San Jose State University,11.4
Brook Lopez,2008,Stanford University,20
Steve Novak,2006,Marquette University,12.7
Robin Lopez,2008,Stanford University,16.2
Quincy Douby,2006,Rutgers University,9.7
Will Solomon,2001,Clemson University,10.5
Chris Kaman,2003,Central Michigan University,14.9
Sean Williams,2007,Boston College,12.4
Lorenzen Wright,1996,University of Memphis,13.3
Rodney Carney,2006,University of Memphis,11.9
Felipe Lopez,1998,St. John's University,11.5
Nate Wolters,2013,South Dakota State University,11.3
Matt Harpring,1998,Georgia Institute of Technology,15.3
Joel Embiid,2014,University of Kansas,24.1
Tim Duncan,1997,Wake Forest University,24.2
Ike Diogu,2005,Arizona State University,15.6
Trajan Langdon,1999,Duke University,12.2
Mark Madsen,2000,Stanford University,8.1
Darius Miller,2012,University of Kentucky,8.5
Shammond Williams,1998,University of North Carolina,13.3
Brandon Roy,2006,University of Washington,20
CJ McCollum,2013,Lehigh University,17.3
Toney Douglas,2009,Florida State University,13.2
Landry Fields,2010,Stanford University,12.1
Nazr Mohammed,1998,University of Kentucky,15
Lonny Baxter,2002,University of Maryland,11.6
Orien Greene,2005,University of Louisiana at Lafayette,6.1
Danny Fortson,1997,University of Cincinnati,16.2
Roshown McLeod,1998,Duke University,10.1
Donte Greene,2008,Syracuse University,10
Travis Diener,2005,Marquette University,12.5
Blake Griffin,2009,University of Oklahoma,22.3
Kevin Martin,2004,Western Carolina University,17.7
Donnell Harvey,2000,University of Florida,12.5
James Ennis,2013,"California State University, Long Beach",11.6
Brian Cardinal,2000,Purdue University,12.7
Tyrus Thomas,2006,Louisiana State University,14.8
Calvin Booth,1999,Pennsylvania State University,12.4
LaMarcus Aldridge,2006,University of Texas at Austin,20.8
Doug McDermott,2014,Creighton University,10.6
Raymond Felton,2005,University of North Carolina,13.8
Dahntay Jones,2003,Duke University,9.5
Shawn Marion,1999,"University of Nevada, Las Vegas",18.8
Victor Oladipo,2013,Indiana University,16.8
Allen Crabbe,2013,University of California,11.2
Michael Dickerson,1998,University of Arizona,13.4
Wally Szczerbiak,1999,Miami University,16
Jimmy Butler,2011,Marquette University,20
Eddie Griffin,2001,Seton Hall University,14.3
Damian Lillard,2012,Weber State University,21.4
Tony Snell,2013,University of New Mexico,9
Byron Mullens,2009,Ohio State University,12.2
Larry Sanders,2010,Virginia Commonwealth University,15.4
Obinna Ekezie,1999,University of Maryland,11.2
Isaiah Thomas,2011,University of Washington,20.4
George Hill,2008,Indiana University-Purdue University Indianapolis,14.9
Draymond Green,2012,Michigan State University,15.4
Ben Gordon,2004,University of Connecticut,14.9
Greg Buckner,1998,Clemson University,10.7
K.J. McDaniels,2014,Clemson University,10.8
Hilton Armstrong,2006,University of Connecticut,9.9
Andre Drummond,2012,University of Connecticut,22
John Wall,2010,University of Kentucky,19.4
Jordan Clarkson,2014,University of Missouri,15.3
Hassan Whiteside,2010,Marshall University,24
Ruben Patterson,1998,University of Cincinnati,17.1
Steve Blake,2003,University of Maryland,11.1
Erick Dampier,1996,Mississippi State University,14.3
Mo Williams,2003,University of Alabama,15
Samuel Dalembert,2001,Seton Hall University,15.4
Caron Butler,2002,University of Connecticut,15
Jason Collins,2001,Stanford University,9.4
Archie Goodwin,2013,University of Kentucky,11.6
Ron Mercer,1997,University of Kentucky,12.5
Chris Singleton,2011,Florida State University,8.2
Marcus Smart,2014,Oklahoma State University,11.7
Antonio Daniels,1997,Bowling Green State University,14.6
Randy Livingston,1996,Louisiana State University,10
Markieff Morris,2011,University of Kansas,14.1
Chris Bosh,2003,Georgia Institute of Technology,20.6
Keon Clark,1998,"University of Nevada, Las Vegas",15.4
Jared Dudley,2007,Boston College,12.7
A.J. Price,2009,University of Connecticut,12.2
David West,2003,Xavier University,18.6
Ronny Turiaf,2005,Gonzaga University,13.8
Paul Pierce,1998,University of Kansas,19.7
Andre Roberson,2013,University of Colorado,9.8
Xavier Henry,2010,University of Kansas,9.3
O.J. Mayo,2008,University of Southern California,13.4
Walter McCarty,1996,University of Kentucky,10.1
Jabari Parker,2014,Duke University,16.1
Jamaal Tinsley,2001,Iowa State University,13.6
Mason Plumlee,2013,Duke University,17.9
Festus Ezeli,2012,Vanderbilt University,13.4
Paul George,2010,"California State University, Fresno",19.1
Michael Carter-Williams,2013,Syracuse University,13.7
Luc Mbah a Moute,2008,"University of California, Los Angeles",10.7
Todd MacCulloch,1999,University of Washington,16.9
Marcus Morris,2011,University of Kansas,13.3
Aaron Brooks,2007,University of Oregon,13.3
Cuttino Mobley,1998,University of Rhode Island,14.4
Mark Blount,1997,University of Pittsburgh,12.5
Matt Barnes,2002,"University of California, Los Angeles",12.7
Julius Randle,2014,University of Kentucky,17.6
Tyler Hansbrough,2009,University of North Carolina,14.8
Brian Scalabrine,2001,University of Southern California,7.7
Russell Westbrook,2008,"University of California, Los Angeles",23.7
Kevin Love,2008,"University of California, Los Angeles",21.9
Speedy Claxton,2000,Hofstra University,14.5
Ed Davis,2010,University of North Carolina,16.7
Shareef Abdur-Rahim,1996,University of California,19
Jeff Teague,2009,Wake Forest University,17.1
Cedric Henderson,1997,University of Memphis,9.2
Brandon Rush,2008,University of Kansas,9.9
Jeff Green,2007,Georgetown University,13.2
Kawhi Leonard,2011,San Diego State University,22.6
Roy Hibbert,2008,Georgetown University,15.5
Eric Gordon,2008,Indiana University,14.5
Marreese Speights,2008,University of Florida,16.7
Gary Harris,2014,Michigan State University,14
Quincy Lewis,1999,University of Minnesota,6.7
John Jenkins,2012,Vanderbilt University,11.7
Robert Traylor,1998,University of Michigan,14.5
Jason Terry,1999,University of Arizona,16.2
Jake Voskuhl,2000,University of Connecticut,10.8
Thomas Robinson,2012,University of Kansas,14
Jacque Vaughn,1997,University of Kansas,10.1
Richard Jefferson,2001,University of Arizona,14.4
Ray McCallum,2013,University of Detroit Mercy,11
Anthony Randolph,2008,Louisiana State University,16.5
Anthony Bennett,2013,"University of Nevada, Las Vegas",10.2
Stephen Curry,2009,Davidson College,23.8
Jarron Collins,2001,Stanford University,9.4
Ben McLemore,2013,University of Kansas,9.3
Daniel Gibson,2006,University of Texas at Austin,10.8
Joel Przybilla,2000,University of Minnesota,12
Troy Murphy,2001,University of Notre Dame,15.4
Mike Sweetney,2003,Georgetown University,15.1
Luke Ridnour,2003,University of Oregon,13.9
Vitaly Potapenko,1996,Wright State University,11.8
Alec Burks,2011,University of Colorado,13.6
Samaki Walker,1996,University of Louisville,12.7
Shane Battier,2001,Duke University,12.6
Derrick Brown,2009,Xavier University,13.8
Lee Nailon,1999,Texas Christian University,14
Cory Joseph,2011,University of Texas at Austin,12.6
Tony Wroten,2012,University of Washington,12.6
Nick Young,2007,University of Southern California,12.9
Keith Van Horn,1997,University of Utah,16.8
DeMar DeRozan,2009,University of Southern California,17.9
Leon Powe,2006,University of California,16.8
Rafer Alston,1998,"California State University, Fresno",13.2
Chauncey Billups,1997,University of Colorado,18.8
Solomon Hill,2013,University of Arizona,9.1
Andre Iguodala,2004,University of Arizona,15.7
Marcus Fizer,2000,Iowa State University,13.4
Tyler Ennis,2014,Syracuse University,10.3
Renaldo Balkman,2006,University of South Carolina,14.3
Baron Davis,1999,"University of California, Los Angeles",17.8
Andrew Wiggins,2014,University of Kansas,14.5
Bonzi Wells,1998,Ball State University,16.1
John Thomas,1997,University of Minnesota,9.4
JaVale McGee,2008,"University of Nevada, Reno",19.3
Kyle Korver,2003,Creighton University,12.8
Nik Stauskas,2014,University of Michigan,9
Juan Dixon,2002,University of Maryland,12.8
Alvin Williams,1997,Villanova University,13.7
Jahidi White,1998,Georgetown University,14.2
DeMarre Carroll,2009,University of Missouri,13.5
Austin Daye,2009,Gonzaga University,11.6
Jeff Withey,2013,University of Kansas,16.9
J.J. Hickson,2008,North Carolina State University,16.1
Rodney White,2001,University of North Carolina at Charlotte,12.3
Al Thornton,2007,Florida State University,12.3
Nerlens Noel,2013,University of Kentucky,16.9
Corey Brewer,2007,University of Florida,11.8
Nick Collison,2003,University of Kansas,13.2
Jelani McCoy,1998,"University of California, Los Angeles",12.6
Wayne Ellington,2009,University of North Carolina,11.1
Othella Harrington,1996,Georgetown University,12.5
Todd Fuller,1996,North Carolina State University,10.3
Charles Smith,1997,University of New Mexico,11.5
Ty Lawson,2009,University of North Carolina,17.2
Nate Robinson,2005,University of Washington,15.6
Kendall Marshall,2012,University of North Carolina,10.7
Brandon Knight,2011,University of Kentucky,14.1
Nick Calathes,2009,University of Florida,12.3
D.J. White,2008,Indiana University,14.5
Delonte West,2004,Saint Joseph's University,13.9
Tony Battie,1997,Texas Tech University,12.6
Marvin Williams,2005,University of North Carolina,13.7
Taj Gibson,2009,University of Southern California,15.5
David Lee,2005,University of Florida,19.1
Jordan Farmar,2006,"University of California, Los Angeles",13.3
Keyon Dooling,2000,University of Missouri,11.5
Solomon Jones,2006,University of South Florida,10.2
Brian Cook,2003,University of Illinois at Urbana-Champaign,13.1
Bill Walker,2008,Kansas State University,10.8
