,Player,School,MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40,,Career_PER,,,,,,,,,
55,Kenyon Martin,Cincinnati,23.7,7.5,0.586,4.4,0,0.1,2.2,3.7,1.842602041,1.1,2.5,1.6,11,0.587,11.93196481,15.44281525,8.2,16.4,0.346,,15,,,,,,,,,
56,Kareem Rush,Missouri,30.2,14.7,0.445,3.9,2.7,6.4,3.1,4,1.7,1.2,0.6,2.8,18.9,0.537,11.93196481,15.44281525,7.9,4.3,0.193,,9.2,,,,,,,,,
57,Roy Rogers,Alabama,20.4,5.2,0.517,2.7,0,0,1,1.6,1.842602041,0.4,2.6,1.2,6.4,0.517,11.93196481,15.44281525,1.7,3.4,0.099,,12.1,,,,,,,,,
58,Bradley Beal,Florida,34.2,10.6,0.445,3,1.7,5,3.6,4.7,1.4,1.4,0.8,2.1,14.8,0.525,12.3,12.7,3.6,2.1,0.18,,17,,,,,,,,,
59,Bobby Jackson,Minnesota,29.7,11.9,0.427,4.1,1,3.2,3.3,4.1,1.842602041,1.8,0.3,2.3,14.4,0.469,11.93196481,15.44281525,3,4.8,0.176,,15.2,,,,,,,,,
60,Joakim Noah,Florida,21.1,6.2,0.616,3.8,0,0,2.9,4.2,2,0.9,1.7,1.8,10.5,0.617,16.5,16,8.7,9,0.31,,17.6,,,,,,,,,
61,Pat Garrity,Notre Dame,32.1,13.8,0.488,5.8,0.9,2.5,4.4,5.9,1.842602041,0.8,0.6,2.9,18.8,0.52,11.93196481,15.44281525,8.8,3.1,0.111,,10.7,,,,,,,,,
62,Chris Duhon,Duke,33.4,7.2,0.418,1.9,1.1,3.5,1.7,2.4,0.8,2.1,0.1,2.5,8.8,0.497,5.8,30,4.6,9.8,0.12,,10.8,,,,,,,,,
63,Bernard Robinson,Michigan,30.6,10.4,0.44,4,0.6,1.9,2.8,3.4,1.3,1.4,0.4,2.9,12.5,0.467,10.6,21.9,4.7,4.8,0.105,,11,,,,,,,,,
64,Kelvin Cato,Overall,24.4,7.9,0.434,3.4,0,0,2.2,3.8,1.842602041,0.8,3.5,1.6,9.1,0.434,11.93196481,15.44281525,0.5,8.3,0.181,,14.4,,,,,,,,,
65,DeJuan Blair,Pitt,26.6,9.6,0.568,5.5,0,0,2.7,4.3,4.7,1.6,1,1.6,13.6,0.568,22.7,8.2,5.4,9.6,0.314,,16.5,,,,,,,,,
66,Brevin Knight,Stanford,32.2,10.8,0.416,3.7,0.8,2.4,5.1,6.4,1.842602041,2.6,0.1,3.5,14.9,0.453,11.93196481,15.44281525,4.9,4.9,0.105,,14.9,,,,,,,,,
67,J.J. Redick,Duke,34,13.7,0.433,2.6,3.3,8.1,4.8,5.2,0.5,1.1,0.1,2.1,19.9,0.553,4.3,12.7,18.4,5.1,0.199,,14.9,,,,,,,,,
68,Jeff Foster,Texas State,21.3,7.1,0.508,3.6,0,0,2.5,3.9,1.842602041,0.9,1,1.6,9.8,0.51,11.93196481,15.44281525,4.9,9.2,0.235,,14.2,,,,,,,,,
69,Kyle O'Quinn,Norfolk State,27.5,8.6,0.553,4.3,0.4,1.6,2.6,3.8,2.6,0.5,2.2,2,12.5,0.577,18.7,8.5,9.4,6.3,0.178,,17.8,,,,,,,,,
70,Glen Davis,LSU,32,12,0.496,5.7,0.3,0.9,4.5,6.5,3.8,1.1,1.2,2.4,16.7,0.507,17.3,10.7,7.1,8.2,0.202,,12.4,,,,,,,,,
71,Jarvis Hayes,Overall,31.4,15,0.457,5,1.9,5.1,2.4,3.1,1.2,1.3,0.5,1.7,18,0.519,8,11.2,6,3.3,0.14,,10.8,,,,,,,,,
72,Ryan Gomes,Providence,35.1,13,0.519,6.1,0.7,2,4.2,5.3,3.3,1.6,0.4,2.3,18.4,0.546,15.3,13.8,13.1,7.5,0.202,,12.5,,,,,,,,,
73,Shannon Brown,Michigan State,28,9.4,0.457,3.2,1.1,3.1,2.5,3,1,1.3,0.1,2,12.2,0.518,7.7,14,5.9,2.8,0.128,,12.4,,,,,,,,,
74,Danny Green,UNC,19.9,7.4,0.455,2.1,1.3,3.4,1.4,1.6,1.4,1.1,1.1,1.4,9.4,0.54,10.9,15.1,6.5,10.4,0.233,,13,,,,,,,,,
75,Anthony Johnson,College of Charleston,24,6.1,0.466,2.3,0.6,1.4,1.9,2.6,1.842602041,1.2,0.2,2.2,8.2,0.513,11.93196481,15.44281525,4.7,4.3,0.128,,11.2,,,,,,,,,
76,Zach Randolph,Michigan State,19.8,7.1,0.587,4.2,0,0,2.4,3.8,3.1,0.7,0.7,1.6,10.8,0.587,11.93196481,15.44281525,2.3,2.8,0.315,,19.3,,,,,,,,,
77,Gerald Wallace,Alabama,22.9,8,0.438,3.2,0.3,1.8,2.4,4.3,2.3,1.2,1,2.4,9.8,0.457,11.93196481,15.44281525,0.4,3,0.168,,16.3,,,,,,,,,
78,DeMarcus Cousins,Kentucky,23.5,9.7,0.558,5.4,0,0.2,4.3,7.1,4.1,1,1.8,2.1,15.1,0.56,22.5,9.2,3.8,2.7,0.29,,22.4,,,,,,,,,
79,Andrew Nicholson,St. Bonaventure,29.9,11.4,0.575,6.3,0.2,0.6,3.7,5.1,2.2,0.5,2,2.4,17.1,0.585,14.9,7.4,12.7,5.9,0.202,,12.2,,,,,,,,,
80,Kyle Singler,Duke,33,12.7,0.433,3.7,1.8,5,3.4,4.3,2.4,1.1,0.7,2.1,16.2,0.504,11.6,11.9,13.5,12.2,0.21,,9.5,,,,,,,,,
81,Jason Thompson,Rider,32.1,11.8,0.526,6,0.2,0.8,4,6,3,0.9,1.9,2.6,16.7,0.536,16.7,14.3,9.8,6.9,0.171,,13.5,,,,,,,,,
