Draft_Yr,Player,College,Career_PER
1950,Wally Osterkorn,University of Illinois at Urbana-Champaign,12
1994,Tony Dumas,University of Missouri-Kansas City,12
2016,Taurean Prince,Baylor University,12
1975,Steve Green,Indiana University,12
1992,Sean Rooks,University of Arizona,12
1980,Rory Sparrow,Villanova University,12
2006,Randy Foye,Villanova University,12
1979,Ollie Mack,East Carolina University,12
2015,Norman Powell,"University of California, Los Angeles",12
1978,Mike Evans,Kansas State University,12
1977,Mike Bratz,Stanford University,12
1973,Mel Davis,St. John's University,12
1983,Mark West,Old Dominion University,12
1986,Larry Krystkowiak,University of Montana,12
2013,Kentavious Caldwell-Pope,University of Georgia,12
1983,John Paxson,University of Notre Dame,12
2000,Joel Przybilla,University of Minnesota,12
1978,Jerome Whitehead,Marquette University,12
1988,Jeff Grayer,Iowa State University,12
1989,Haywoode Workman,Oral Roberts University,12
2010,Evan Turner,Ohio State University,12
2000,Eduardo Najera,University of Oklahoma,12
1979,Dudley Bradley,University of North Carolina,12
2012,Dion Waiters,Syracuse University,12
1954,Dick Farley,Indiana University,12
1995,Cherokee Parks,Duke University,12
1998,Brian Skinner,Baylor University,12
1986,Andre Turner,University of Memphis,12
1959,Gene Tormholen,University of Tennessee,11.9
1990,Tony Massenburg,University of Maryland,11.9
1960,Tom Sanders,New York University,11.9
1986,Tod Murphy,"University of California, Irvine",11.9
1989,Stacey King,University of Oklahoma,11.9
1965,Ron Reed,University of Notre Dame,11.9
2006,Rodney Carney,University of Memphis,11.9
1991,Pete Chilcutt,University of North Carolina,11.9
1976,Paul Griffin,Western Michigan University,11.9
1982,Mike Sanders,"University of California, Los Angeles",11.9
1995,Mark Davis,Texas Tech University,11.9
1976,Leon Douglas,University of Alabama,11.9
1981,Kevin Loder,Alabama State University,11.9
1986,Kevin Duckworth,Eastern Illinois University,11.9
1986,Kenny Walker,University of Kentucky,11.9
1973,Ken Charles,Fordham University,11.9
1989,J.R. Reid,University of North Carolina,11.9
1966,Clyde Lee,Vanderbilt University,11.9
1994,Clifford Rozier,University of Louisville,11.9
1995,Chris Carr,Southern Illinois University,11.9
1957,Charlie Tyra,University of Louisville,11.9
1971,Charlie Davis,Wake Forest University,11.9
1986,Buck Johnson,University of Alabama,11.9
1972,Bernie Fryer,Brigham Young University,11.9
1954,Art Spoelstra,Western Kentucky University,11.9
2007,Arron Afflalo,"University of California, Los Angeles",11.9
1999,Vonteego Cummings,University of Pittsburgh,11.8
2005,Von Wafer,Florida State University,11.8
1996,Vitaly Potapenko,Wright State University,11.8
1981,Tracy Jackson,University of Notre Dame,11.8
1968,Shaler Halimon,Utah State University,11.8
2005,Salim Stoudamire,University of Arizona,11.8
2014,Noah Vonleh,Indiana University,11.8
1971,Mo Layton,University of Southern California,11.8
1991,Luc Longley,University of New Mexico,11.8
1980,Kurt Nimphius,Arizona State University,11.8
2016,Kris Dunn,Providence College,11.8
1986,John Shasky,University of Minnesota,11.8
2014,Joe Harris,University of Virginia,11.8
1963,Jim King,University of Tulsa,11.8
1982,Jerry Eaves,University of Louisville,11.8
1976,Ira Terrell,Southern Methodist University,11.8
1992,Hubert Davis,University of North Carolina,11.8
1960,Fred LaCour,University of San Francisco,11.8
1995,Don Reid,Georgetown University,11.8
1988,Derrick Chievous,University of Missouri,11.8
1989,Danny Ferry,Duke University,11.8
1982,Craig Hodges,"California State University, Long Beach",11.8
2007,Corey Brewer,University of Florida,11.8
1950,Cal Christensen,University of Toledo,11.8
2016,Brandon Ingram,Duke University,11.8
1957,Hot Rod Hundley,West Virginia University,11.7
1990,Travis Mays,University of Texas at Austin,11.7
1996,Shandon Anderson,University of Georgia,11.7
2014,Marcus Smart,Oklahoma State University,11.7
2003,Luke Walton,University of Arizona,11.7
1984,Kenny Fields,"University of California, Los Angeles",11.7
2015,Kelly Oubre,University of Kansas,11.7
2012,John Jenkins,Vanderbilt University,11.7
1972,John Gianelli,University of the Pacific,11.7
1973,John Brown,University of Missouri,11.7
1979,Jerry Sichting,Purdue University,11.7
2000,Jason Collier,Georgia Institute of Technology,11.7
1968,Gary Gregor,University of South Carolina,11.7
1995,Eric Williams,Providence College,11.7
1975,Eric Fernsten,University of San Francisco,11.7
2010,Ekpe Udoh,Baylor University,11.7
1990,Duane Causwell,Temple University,11.7
1991,Doug Smith,University of Missouri,11.7
1966,Dorie Murrey,University of Detroit Mercy,11.7
1950,Don Lofgran,University of San Francisco,11.7
1994,Derrick Alston,Duquesne University,11.7
1996,Derek Fisher,University of Arkansas at Little Rock,11.7
1956,Dave Piontek,Xavier University,11.7
2017,Damyean Dotson,University of Oregon,11.7
1955,Corky Devlin,George Washington University,11.7
1974,Cliff Pondexter,"California State University, Long Beach",11.7
1955,Chuck Mencel,University of Minnesota,11.7
1988,Brian Shaw,"University of California, Santa Barbara",11.7
1986,Anthony Bowie,University of Oklahoma,11.7
1988,Andrew Lang,University of Arkansas,11.7
1988,Tom Garrick,University of Rhode Island,11.6
1995,Shawn Respert,Michigan State University,11.6
1980,Rick Mahorn,Hampton University,11.6
2002,Lonny Baxter,University of Maryland,11.6
1974,Kevin Restani,University of San Francisco,11.6
2013,James Ennis,"California State University, Long Beach",11.6
1968,Don Chaney,University of Houston,11.6
1989,Chucky Brown,North Carolina State University,11.6
1981,Charles Davis,Vanderbilt University,11.6
2009,Austin Daye,Gonzaga University,11.6
2013,Archie Goodwin,University of Kentucky,11.6
1990,A.J. English,Virginia Union University,11.6
1997,Charles Smith,University of New Mexico,11.5
1980,Wayne Robinson,Virginia Polytechnic Institute and State University,11.5
1977,Tom LaGarde,University of North Carolina,11.5
2009,Terrence Williams,University of Louisville,11.5
1990,Steve Henson,Kansas State University,11.5
2009,Sam Young,University of Pittsburgh,11.5
2018,Mikal Bridges,Villanova University,11.5
2016,Marquese Chriss,University of Washington,11.5
1974,Len Elmore,University of Maryland,11.5
2000,Keyon Dooling,University of Missouri,11.5
1957,Jim Krebs,Southern Methodist University,11.5
1981,Jeff Lamp,University of Virginia,11.5
1994,Howard Eisley,Boston College,11.5
1998,Felipe Lopez,St. John's University,11.5
1954,Ed Kalafat,University of Minnesota,11.5
1989,Doug West,Villanova University,11.5
1951,Don Sunderlage,University of Illinois at Urbana-Champaign,11.5
2000,Courtney Alexander,"California State University, Fresno",11.5
2008,Chris Douglas-Roberts,University of Memphis,11.5
1975,C.J. Kupec,University of Michigan,11.5
1975,Bruce Seals,Xavier University of Louisiana,11.5
1990,Anthony Bonner,Saint Louis University,11.5
2007,Aaron Gray,University of Pittsburgh,11.5
1964,Freddie Crawford,St. Bonaventure University,11.4
1976,Wally Walker,University of Virginia,11.4
1996,Travis Knight,University of Connecticut,11.4
1990,Tony Smith,Marquette University,11.4
1966,Tommy Kron,University of Kentucky,11.4
1997,Tariq Abdul-Wahad,San Jose State University,11.4
1969,Steve Kuberski,Bradley University,11.4
2013,Shane Larkin,University of Miami,11.4
1976,Lloyd Walton,Marquette University,11.4
1974,Kim Hughes,University of Wisconsin,11.4
1977,John Kuester,University of North Carolina,11.4
1978,James Hardy,University of San Francisco,11.4
1974,Fred Saunders,Syracuse University,11.4
2011,E'Twaun Moore,Purdue University,11.4
1983,Dirk Minniefield,University of Kentucky,11.4
2015,Cameron Payne,Murray State University,11.4
2016,Tyler Ulis,University of Kentucky,11.3
1990,Trevor Wilson,"University of California, Los Angeles",11.3
1972,Ron Riley,University of Southern California,11.3
1968,Rick Adelman,Loyola Marymount University,11.3
1967,Pat Riley,University of Kentucky,11.3
1984,Othell Wilson,University of Virginia,11.3
1990,Negele Knight,University of Dayton,11.3
2013,Nate Wolters,South Dakota State University,11.3
1980,Mike Harper,North Park University,11.3
2001,Michael Bradley,Villanova University,11.3
2017,Malik Monk,University of Kentucky,11.3
1976,Major Jones,Albany State University,11.3
1981,Larry Spriggs,Howard University,11.3
2009,Jonny Flynn,Syracuse University,11.3
1964,Joe Strawder,Bradley University,11.3
1956,Joe Holup,George Washington University,11.3
2003,James Jones,University of Miami,11.3
1964,George Wilson,University of Cincinnati,11.3
2002,Fred Jones,University of Oregon,11.3
1971,Fred Hilton,Grambling State University,11.3
1986,Dave Hoppen,University of Nebraska,11.3
1970,Cornell Warner,Jackson State University,11.3
2010,Avery Bradley,University of Texas at Austin,11.3
1977,Alvin Scott,Oral Roberts University,11.3
1960,Al Attles,North Carolina Agricultural and Technical State University,11.3
1970,Steve Patterson,"University of California, Los Angeles",11.2
1960,Willie Jones,Northwestern University,11.2
1993,Rex Walters,University of Kansas,11.2
2013,Reggie Bullock,University of North Carolina,11.2
1983,Randy Wittman,Indiana University,11.2
2012,Quincy Acy,Baylor University,11.2
1956,Phil Rollins,University of Louisville,11.2
1999,Obinna Ekezie,University of Maryland,11.2
2001,Loren Woods,University of Arizona,11.2
1990,Jud Buechler,University of Arizona,11.2
2017,Josh Jackson,University of Kansas,11.2
1980,James Wilkes,"University of California, Los Angeles",11.2
1993,James Robinson,University of Alabama,11.2
1953,Ernie Beck,University of Pennsylvania,11.2
1951,Bill Tosheff,Indiana University,11.2
1980,Bill Hanzlik,University of Notre Dame,11.2
1969,Bernie Williams,La Salle University,11.2
1997,Anthony Johnson,College of Charleston,11.2
2013,Allen Crabbe,University of California,11.2
1974,Al Eberhard,University of Missouri,11.2
2009,Wayne Ellington,University of North Carolina,11.1
2003,Steve Blake,University of Maryland,11.1
1982,Russ Schoene,University of Tennessee at Chattanooga,11.1
2002,Qyntel Woods,Northeast Mississippi Community College,11.1
1969,John Warren,St. John's University,11.1
1966,Erwin Mueller,University of San Francisco,11.1
2009,Dante Cunningham,Villanova University,11.1
1993,Corie Blount,University of Cincinnati,11.1
1979,Clint Richardson,Seattle University,11.1
1986,Brad Sellers,Ohio State University,11.1
1976,Bob Wilkerson,Indiana University,11.1
1972,Bob Nash,University of Hawaii,11.1
1951,Alfred McGuire,St. John's University,11.1
2003,Willie Green,University of Detroit Mercy,11
1964,Wali Jones,Villanova University,11
1989,Tom Hammonds,Georgia Institute of Technology,11
2006,Ryan Hollins,"University of California, Los Angeles",11
1977,Robert Smith,"University of Nevada, Las Vegas",11
2013,Ray McCallum,University of Detroit Mercy,11
1989,Randy White,Louisiana Tech University,11
2006,P.J. Tucker,University of Texas at Austin,11
2006,Marcus Williams,University of Connecticut,11
2001,Kedrick Brown,Okaloosa-Walton Community College,11
2005,Joey Graham,Oklahoma State University,11
1984,Jim Petersen,University of Minnesota,11
1955,Guy Sparrow,University of Detroit Mercy,11
2000,DerMarr Johnson,University of Cincinnati,11
1971,Dave Wohl,University of Pennsylvania,11
1950,Chuck Cooper,Duquesne University,11
1993,Calbert Cheaney,Indiana University,11
2004,Bernard Robinson,University of Michigan,11
1982,Mark Eaton,"University of California, Los Angeles",10.9
1951,Whitey Skoog,University of Minnesota,10.9
1976,Tom Barker,University of Hawaii,10.9
1969,Terry Driscoll,Boston College,10.9
2002,Roger Mason,University of Virginia,10.9
1983,Rod Foster,"University of California, Los Angeles",10.9
1988,Mark Bryant,Seton Hall University,10.9
1974,Leon Benbow,Jacksonville University,10.9
1950,Kevin O'Shea,University of Notre Dame,10.9
1975,John Laskowski,Indiana University,10.9
1978,Jeff Cook,Idaho State University,10.9
2004,David Harrison,University of Colorado,10.9
2018,Collin Sexton,University of Alabama,10.9
1962,Bud Olsen,University of Louisville,10.9
1985,Bill Wennington,St. John's University,10.9
1978,Winford Boynes,University of San Francisco,10.8
1957,Win Wilfong,University of Memphis,10.8
2012,Robert Sacre,Gonzaga University,10.8
1998,Michael Doleac,University of Utah,10.8
1978,Marty Byrnes,Syracuse University,10.8
1982,Mark McNamara,University of California,10.8
1991,LaBradford Smith,University of Louisville,10.8
2014,K.J. McDaniels,Clemson University,10.8
1978,Joel Kramer,San Diego State University,10.8
2003,Jarvis Hayes,University of Georgia,10.8
2000,Jake Voskuhl,University of Connecticut,10.8
1990,Felton Spencer,University of Louisville,10.8
1967,Ed Manning,Jackson State University,10.8
1975,Don Ford,"University of California, Santa Barbara",10.8
1969,Dick Garrett,Southern Illinois University,10.8
2006,Daniel Gibson,University of Texas at Austin,10.8
2004,Chris Duhon,Duke University,10.8
2008,Bill Walker,Kansas State University,10.8
1966,Bill Turner,University of Akron,10.7
1959,Tom Hawkins,University of Notre Dame,10.7
1990,Tate George,University of Connecticut,10.7
1998,Pat Garrity,University of Notre Dame,10.7
1998,Michael Olowokandi,University of the Pacific,10.7
2008,Luc Mbah a Moute,"University of California, Los Angeles",10.7
1980,Lowes Moore,West Virginia University,10.7
2012,Kendall Marshall,University of North Carolina,10.7
2017,Josh Hart,Villanova University,10.7
1968,John Trapp,"University of Nevada, Las Vegas",10.7
1959,John Barnhill,Tennessee State University,10.7
1990,Jerrod Mustaf,University of Maryland,10.7
1980,Jawann Oldham,Seattle University,10.7
2013,Isaiah Canaan,Murray State University,10.7
1964,Howard Komives,Bowling Green State University,10.7
1998,Greg Buckner,Clemson University,10.7
1968,Fred Foster,Miami University,10.7
1970,Don Adams,Northwestern University,10.7
1987,Dallas Comegys,DePaul University,10.7
1992,Chris Smith,University of Connecticut,10.7
1987,Chris Dudley,Yale University,10.7
1961,Bevo Nordmann,Saint Louis University,10.7
1977,Anthony Roberts,Oral Roberts University,10.7
1973,Kevin Stacom,Providence College,10.6
1954,Jim Paxson,University of Dayton,10.6
1975,Bayard Forrest,Grand Canyon University,10.6
1954,Red Morrison,University of Idaho,10.6
2002,Rasual Butler,La Salle University,10.6
1981,Petur Gudmundsson,University of Washington,10.6
1988,Morlon Wiley,"California State University, Long Beach",10.6
2002,Melvin Ely,"California State University, Fresno",10.6
1996,Mark Hendrickson,Washington State University,10.6
1999,Laron Profit,University of Maryland,10.6
1969,Lamar Green,Morehead State University,10.6
1983,Kevin Williams,St. John's University,10.6
1970,Jim Ard,University of Cincinnati,10.6
1998,Jerome James,Florida Agricultural and Mechanical University,10.6
2007,Javaris Crittenton,Georgia Institute of Technology,10.6
2015,Jarell Martin,Louisiana State University,10.6
1993,Greg Graham,Indiana University,10.6
1988,Gerald Paddio,"University of Nevada, Las Vegas",10.6
1999,Evan Eschmeyer,Northwestern University,10.6
1994,Eric Mobley,University of Pittsburgh,10.6
2009,Eric Maynor,Virginia Commonwealth University,10.6
1950,Earl Lloyd,West Virginia State University,10.6
2014,Doug McDermott,Creighton University,10.6
1999,Devean George,Augsburg College,10.6
2016,Denzel Valentine,Michigan State University,10.6
1992,Chris King,Wake Forest University,10.6
1979,Cedrick Hordges,University of South Carolina,10.6
1958,Barney Cable,Bradley University,10.6
1993,Acie Earl,University of Iowa,10.6
2001,Will Solomon,Clemson University,10.5
1988,Tom Tolbert,University of Arizona,10.5
2013,Ryan Kelly,Duke University,10.5
1998,Ryan Bowen,University of Iowa,10.5
1986,Rafael Addison,Syracuse University,10.5
1983,Mike Holton,"University of California, Los Angeles",10.5
1981,Kevin McKenna,Creighton University,10.5
2015,Justise Winslow,Duke University,10.5
1989,John Morton,Seton Hall University,10.5
1985,Joe Kleine,University of Arkansas,10.5
1977,Jeff Wilkins,Illinois State University,10.5
2003,Jason Kapono,"University of California, Los Angeles",10.5
1958,Hub Reed,Oklahoma City University,10.5
2014,Glenn Robinson III,University of Michigan,10.5
1972,Freddie Boyd,Oregon State University,10.5
1969,Fatty Taylor,La Salle University,10.5
1982,Ed Nealy,Kansas State University,10.5
1991,Donald Hodge,Temple University,10.5
1968,Dick Cunningham,Murray State University,10.5
1970,Dennis Awtrey,Santa Clara University,10.5
1980,Carl Nicks,Indiana State University,10.5
1990,Carl Herrera,University of Houston,10.5
1960,Bob McNeill,Saint Joseph's University,10.5
1955,K.C. Jones,University of San Francisco,10.4
1977,T.R. Dunn,University of Alabama,10.4
1983,Sidney Lowe,North Carolina State University,10.4
2015,Pat Connaughton,University of Notre Dame,10.4
1951,Lew Hitch,Kansas State University,10.4
1975,John Lambert,University of Southern California,10.4
1974,Jan Van Breda Kolff,Vanderbilt University,10.4
1953,Irv Bemoras,University of Illinois at Urbana-Champaign,10.4
1979,Earl Cureton,University of Detroit Mercy,10.4
1958,Bucky Bockhorn,University of Dayton,10.4
1958,Johnny Cox,University of Kentucky,10.3
2014,Tyler Ennis,Syracuse University,10.3
1996,Todd Fuller,North Carolina State University,10.3
1987,Tellis Frank,Western Kentucky University,10.3
1985,Scott Roth,University of Wisconsin,10.3
1991,Randy Brown,New Mexico State University,10.3
1988,Randolph Keys,University of Southern Mississippi,10.3
1981,Pete Verhoeven,"California State University, Fresno",10.3
2009,Jon Brockman,University of Washington,10.3
2009,Hasheem Thabeet,University of Connecticut,10.3
1961,Donnie Butcher,Pikeville College,10.3
1983,Chris McNealy,San Jose State University,10.3
2015,Andrew Harrison,University of Kentucky,10.3
2017,Zach Collins,Gonzaga University,10.2
1973,Tim Bassett,University of Georgia,10.2
2006,Solomon Jones,University of South Florida,10.2
1954,Slick Leonard,Indiana University,10.2
1967,Nick Jones,University of Oregon,10.2
1973,Mike D'Antoni,Marshall University,10.2
1970,John Hummer,Princeton University,10.2
1952,Gene Conley,Washington State University,10.2
2009,Earl Clark,University of Louisville,10.2
1992,Byron Houston,Oklahoma State University,10.2
1972,Bud Stallworth,University of Kansas,10.2
1987,Bob McCann,Morehead State University,10.2
1977,Bo Ellis,Marquette University,10.2
1984,Bernard Thompson,"California State University, Fresno",10.2
2012,Austin Rivers,Duke University,10.2
1976,Armond Hill,Princeton University,10.2
2013,Anthony Bennett,"University of Nevada, Las Vegas",10.2
1984,Eddie Lee Wilkins,Gardner-Webb University,10.2
1996,Walter McCarty,University of Kentucky,10.1
1956,Swede Halbrook,Oregon State University,10.1
2008,Sonny Weems,University of Arkansas,10.1
1998,Roshown McLeod,Duke University,10.1
2014,Markel Brown,Oklahoma State University,10.1
2010,Luke Babbitt,"University of Nevada, Reno",10.1
1992,Lee Mayberry,University of Arkansas,10.1
1997,Jacque Vaughn,University of Kansas,10.1
1964,Em Bryant,DePaul University,10.1
1982,Charles Pittman,University of Maryland,10.1
1968,Bill Hewitt,University of Southern California,10.1
2010,Wesley Johnson,Syracuse University,10
1981,Rudy Macklin,Louisiana State University,10
1999,Rodney Buford,Creighton University,10
1996,Randy Livingston,Louisiana State University,10
2018,Kevin Huerter,University of Maryland,10
1994,Jim McIlvaine,Marquette University,10
1981,Hank McDowell,University of Memphis,10
1999,Francisco Elson,University of California,10
1973,E.C. Coleman,Houston Baptist University,10
1991,Doug Overton,La Salle University,10
2008,Donte Greene,Syracuse University,10
1986,David Wingate,Georgetown University,10
1983,Bob Hansen,University of Iowa,10
1982,Tony Brown,University of Arkansas,9.9
1984,Terence Stansbury,Temple University,9.9
2001,Terence Morris,University of Maryland,9.9
1986,Pete Myers,University of Arkansas at Little Rock,9.9
2017,OG Anunoby,Indiana University,9.9
1958,Mike Farmer,University of San Francisco,9.9
2010,James Anderson,Oklahoma State University,9.9
2011,Iman Shumpert,Georgia Institute of Technology,9.9
2006,Hilton Armstrong,University of Connecticut,9.9
1989,Greg Grant,Trenton State University,9.9
1992,Elmore Spencer,"University of Nevada, Las Vegas",9.9
2002,Dajuan Wagner,University of Memphis,9.9
2008,Brandon Rush,University of Kansas,9.9
2007,Acie Law,Texas A&M University,9.9
1986,Tim Kempton,University of Notre Dame,9.8
1980,Rickey Brown,Mississippi State University,9.8
1978,Raymond Townsend,"University of California, Los Angeles",9.8
1981,Ray Tolbert,Indiana University,9.8
2010,Quincy Pondexter,University of Washington,9.8
1966,Matt Guokas,Saint Joseph's University,9.8
1985,Jon Koncak,Southern Methodist University,9.8
1954,Frank Selvy,Furman University,9.8
1988,Eric Leckner,University of Wyoming,9.8
2007,Dominic McGuire,"California State University, Fresno",9.8
1971,Dick Gibbs,University of Texas at El Paso,9.8
1985,Delaney Rudd,Wake Forest University,9.8
1986,Dave Feitl,University of Texas at El Paso,9.8
1968,Charlie Paulk,Northeastern State University,9.8
1986,Anthony Jones,"University of Nevada, Las Vegas",9.8
2013,Andre Roberson,University of Colorado,9.8
1986,William Bedford,University of Memphis,9.7
2017,Sterling Brown,Southern Methodist University,9.7
2006,Quincy Douby,Rutgers University,9.7
1985,Mike Brown,George Washington University,9.7
1987,Jack Haley,"University of California, Los Angeles",9.7
1991,Greg Sutton,Oral Roberts University,9.7
1967,Bobby Lewis,University of North Carolina,9.7
1973,Harvey Catchings,Hardin-Simmons University,9.6
2003,Keith Bogans,University of Kentucky,9.6
1960,Joe Roberts,Ohio State University,9.6
2002,Jared Jeffries,Indiana University,9.6
1981,Elston Turner,University of Mississippi,9.6
2017,Dillon Brooks,University of Oregon,9.6
1955,Dick Ricketts,Duquesne University,9.6
1998,Bryce Drew,Valparaiso University,9.6
1990,Alec Kessler,University of Georgia,9.6
1954,Al Bianchi,Bowling Green State University,9.6
1952,Walt Davis,Texas A&M University,9.5
1992,Tony Bennett,University of Wisconsin-Green Bay,9.5
1974,Tal Skinner,University of Maryland Eastern Shore,9.5
1990,Sean Higgins,University of Michigan,9.5
2011,Kyle Singler,Duke University,9.5
2017,Justin Jackson,University of North Carolina,9.5
1966,John Wetzel,Virginia Polytechnic Institute and State University,9.5
1952,Jack McMahon,St. John's University,9.5
1997,Eric Washington,University of Alabama,9.5
1994,Dickey Simpkins,Providence College,9.5
2003,Dahntay Jones,Duke University,9.5
1954,Chuck Noble,University of Louisville,9.5
1953,Richie Regan,Seton Hall University,9.4
1983,Pace Mannion,University of Utah,9.4
1985,Manute Bol,University of Bridgeport,9.4
1984,Lancaster Gordon,University of Louisville,9.4
1979,Johnny High,"University of Nevada, Reno",9.4
1997,John Thomas,University of Minnesota,9.4
2001,Jason Collins,Stanford University,9.4
2001,Jarron Collins,Stanford University,9.4
1990,Dwayne Schintzius,University of Florida,9.4
1976,Bob Carrington,Boston College,9.4
1968,Art Harris,Stanford University,9.4
1955,Al Ferrari,Michigan State University,9.4
2010,Xavier Henry,University of Kansas,9.3
1960,Ralph Davis,University of Cincinnati,9.3
1989,Jeff Martin,Murray State University,9.3
1962,Gene Wiley,Wichita State University,9.3
2016,DeAndre Bembry,Saint Joseph's University,9.3
1981,Danny Vranes,University of Utah,9.3
1972,Corky Calhoun,University of Pennsylvania,9.3
2013,Ben McLemore,University of Kansas,9.3
1979,Charles Jones,Albany State University,9.2
1982,Scott Hastings,University of Arkansas,9.2
1982,Perry Moss,Northeastern University,9.2
2011,Norris Cole,Cleveland State University,9.2
1965,Nate Bowman,Wichita State University,9.2
2002,Kareem Rush,University of Missouri,9.2
1951,Ernie Barrett,Kansas State University,9.2
1997,Cedric Henderson,University of Memphis,9.2
2002,Casey Jacobsen,Stanford University,9.2
2013,Solomon Hill,University of Arizona,9.1
1956,Si Green,Duquesne University,9.1
1998,Sean Marks,University of California,9.1
1994,Eric Montross,University of North Carolina,9.1
1995,Ed O'Bannon,"University of California, Los Angeles",9.1
2007,Daequan Cook,Ohio State University,9.1
1982,Audie Norris,Jackson State University,9.1
2013,Tony Snell,University of New Mexico,9
2014,Nik Stauskas,University of Michigan,9
1985,Mark Acres,Oral Roberts University,9
1985,Hot Rod Williams,Tulane University,9
1982,Bryan Warrick,Saint Joseph's University,9
1979,Paul Mokeski,University of Kansas,8.9
1991,Mark Macon,Temple University,8.9
1984,Ken Bannister,Saint Augustine's College,8.9
2012,Jeff Taylor,Vanderbilt University,8.9
1990,Greg Foster,University of Texas at El Paso,8.9
1998,Corey Benjamin,Oregon State University,8.9
1979,Calvin Garrett,Oral Roberts University,8.9
1969,Willie McCarter,Drake University,8.8
1956,Johnny McCarthy,Canisius College,8.8
1991,Anthony Avent,Seton Hall University,8.8
1970,George Johnson,Dillard University,8.6
1984,Stuart Gray,"University of California, Los Angeles",8.6
1978,Duck Williams,University of Notre Dame,8.6
2015,Stanley Johnson,University of Arizona,8.5
1976,Scott Lloyd,Arizona State University,8.5
2012,Perry Jones,Baylor University,8.5
1999,Michael Ruffin,University of Tulsa,8.5
2000,Mateen Cleaves,Michigan State University,8.5
1995,Loren Meyer,Iowa State University,8.5
2012,Darius Miller,University of Kentucky,8.5
1972,Chuck Terry,"California State University, Long Beach",8.5
1988,Winston Bennett,University of Kentucky,8.4
2001,Trenton Hassell,Austin Peay State University,8.4
1977,Steve Hayes,Idaho State University,8.4
2004,Royal Ivey,University of Texas at Austin,8.4
1952,Jim Holstein,University of Cincinnati,8.4
1984,Jeff Turner,Vanderbilt University,8.4
1989,Brian Quinnett,Washington State University,8.4
2018,Kevin Knox,University of Kentucky,8.3
1955,Jim Loscutoff,University of Oregon,8.3
1983,Granville Waiters,Ohio State University,8.3
2005,Daniel Ewing,Duke University,8.3
1984,Ben McDonald,"University of California, Irvine",8.3
1961,Gary Phillips,University of Houston,8.2
2011,Chris Singleton,Florida State University,8.2
1994,Bill Curley,Boston College,8.2
2000,Mark Madsen,Stanford University,8.1
1979,Larry Demic,University of Arizona,8.1
2000,Hanno Mottola,University of Utah,8.1
1993,Bobby Hurley,Duke University,8.1
2016,Patrick McCaw,"University of Nevada, Las Vegas",8
2014,Johnny O'Bryant III,Louisiana State University,8
2006,Mardy Collins,Temple University,7.9
1978,Marc Iavaroni,University of Virginia,7.9
2016,Isaiah Whitehead,Seton Hall University,7.9
2005,Antoine Wright,Texas A&M University,7.9
2017,Wesley Iwundu,Kansas State University,7.8
1973,Tom Kozelko,University of Toledo,7.8
1987,Joe Wolf,University of North Carolina,7.8
1957,Woody Sauldsberry,Texas Southern University,7.7
1953,Lou Tsioropoulos,University of Kentucky,7.7
2001,Brian Scalabrine,University of Southern California,7.7
2014,P.J. Hairston,University of North Carolina,7.6
1982,Walker Russell,Western Michigan University,7.5
1963,Tom Thacker,University of Cincinnati,7.4
1985,Mike Smrek,Canisius College,7.4
1986,Greg Dreiling,University of Kansas,7.4
2006,Adam Morrison,Gonzaga University,7.4
2011,DeAndre Liggins,University of Kentucky,7.3
1980,John Duren,Georgetown University,6.9
1971,Kenny McIntosh,Eastern Michigan University,6.8
1999,Quincy Lewis,University of Minnesota,6.7
1985,Uwe Blab,Indiana University,6.6
1963,Gerry Ward,Boston College,6.6
1983,Greg Kite,Brigham Young University,6.5
1996,Mark Pope,University of Kentucky,6.4
2004,Rafael Araujo,Brigham Young University,6.3
1958,Vern Hatton,University of Kentucky,6.2
1984,Bob Thornton,"University of California, Irvine",6.2
2005,Orien Greene,University of Louisiana at Lafayette,6.1
2015,Rashad Vaughn,"University of Nevada, Las Vegas",5.9
2017,Semi Ojeleye,Southern Methodist University,5.7
1950,Ken Murray,St. Bonaventure University,2
