Draft_Yr,Player,College,Career_PER
1973,Doug Collins,Illinois State University,16.1
1962,Don Nelson,University of Iowa,16.1
1998,Bonzi Wells,Ball State University,16.1
1959,Bob Boozer,Kansas State University,16.1
1979,Bill Laimbeer,University of Notre Dame,16.1
1980,Andrew Toney,University of Louisiana at Lafayette,16.1
1977,Eddie Johnson,Auburn University,16
1968,Wes Unseld,University of Louisville,16
1999,Wally Szczerbiak,Miami University,16
1979,Sly Williams,University of Rhode Island,16
1993,Shawn Bradley,Brigham Young University,16
1983,Ralph Sampson,University of Virginia,16
1984,Otis Thorpe,Providence College,16
1995,Michael Finley,University of Wisconsin,16
1987,Mark Jackson,St. John's University,16
1996,Kerry Kittles,Villanova University,16
1973,Kermit Washington,American University,16
2013,Kelly Olynyk,Gonzaga University,16
1979,Jim Spanarkel,Duke University,16
1987,Horace Grant,Clemson University,16
2013,Gorgui Dieng,University of Louisville,16
2004,Devin Harris,University of Wisconsin,16
1983,Derek Harper,University of Illinois at Urbana-Champaign,16
1986,Dell Curry,Virginia Polytechnic Institute and State University,16
1983,Dale Ellis,University of Tennessee,16
2005,Charlie Villanueva,University of Connecticut,16
1963,Art Heyman,Duke University,16
1996,Antoine Walker,University of Kentucky,16
1981,Eddie Johnson,University of Illinois at Urbana-Champaign,15.9
1992,Tom Gugliotta,North Carolina State University,15.9
2013,Shabazz Muhammad,"University of California, Los Angeles",15.9
1991,Richard Dumas,Oklahoma State University,15.9
1961,Ray Scott,University of Portland,15.9
2007,Ramon Sessions,"University of Nevada, Reno",15.9
1974,John Shumate,University of Notre Dame,15.9
1976,John Lucas,University of Maryland,15.9
1996,Jerome Williams,Georgetown University,15.9
1981,Jay Vincent,Michigan State University,15.9
1995,Gary Trent,Ohio University,15.9
1990,Elden Campbell,Clemson University,15.9
1974,Phil Smith,University of San Francisco,15.8
2016,Pascal Siakam,New Mexico State University,15.8
1993,Nick Van Exel,University of Cincinnati,15.8
1989,Nick Anderson,University of Illinois at Urbana-Champaign,15.8
2016,Malcolm Brogdon,University of Virginia,15.8
2012,Jeremy Lamb,University of Connecticut,15.8
1970,Geoff Petrie,Princeton University,15.8
1970,Charlie Scott,University of North Carolina,15.8
1966,Cazzie Russell,University of Michigan,15.8
1988,Charles Smith,University of Pittsburgh,15.7
1985,Wayman Tisdale,University of Oklahoma,15.7
2018,Trae Young,University of Oklahoma,15.7
1988,Rony Seikaly,Syracuse University,15.7
1986,Otis Smith,Jacksonville University,15.7
1978,Mychal Thompson,University of Minnesota,15.7
2008,Michael Beasley,Kansas State University,15.7
1984,Kevin Willis,Michigan State University,15.7
1993,Jamal Mashburn,University of Kentucky,15.7
1958,Hal Greer,Marshall University,15.7
1977,Greg Ballard,University of Oregon,15.7
2015,Devin Booker,University of Kentucky,15.7
2015,D'Angelo Russell,Ohio State University,15.7
1995,Brent Barry,Oregon State University,15.7
2004,Andre Iguodala,University of Arizona,15.7
1976,Sonny Parker,Texas A&M University,15.6
1986,Ron Harper,Miami University,15.6
2013,Otto Porter,Georgetown University,15.6
2005,Nate Robinson,University of Washington,15.6
1962,Len Chappell,Wake Forest University,15.6
1972,Kevin Porter,Saint Francis University,15.6
1975,Junior Bridgeman,University of Louisville,15.6
2004,Josh Childress,Stanford University,15.6
2005,Ike Diogu,Arizona State University,15.6
2015,Delon Wright,University of Utah,15.6
1992,Clarence Weatherspoon,University of Southern Mississippi,15.6
2009,Taj Gibson,University of Southern California,15.5
1982,Sleepy Floyd,Georgetown University,15.5
1984,Sam Perkins,University of North Carolina,15.5
2008,Roy Hibbert,Georgetown University,15.5
1982,Paul Pressey,University of Tulsa,15.5
1971,Mike Newlin,University of Utah,15.5
2009,Marcus Thornton,Louisiana State University,15.5
1969,Lucius Allen,"University of California, Los Angeles",15.5
2008,Kosta Koufos,Ohio State University,15.5
2012,Khris Middleton,Texas A&M University,15.5
2015,Kevon Looney,"University of California, Los Angeles",15.5
2005,Hakim Warrick,Syracuse University,15.5
1953,Frank Ramsey,University of Kentucky,15.5
2016,Domantas Sabonis,Gonzaga University,15.5
2013,Cody Zeller,Indiana University,15.5
2002,Chris Wilcox,University of Maryland,15.5
1983,Byron Scott,Arizona State University,15.5
2001,Troy Murphy,University of Notre Dame,15.4
2011,Tristan Thompson,University of Texas at Austin,15.4
2001,Samuel Dalembert,Seton Hall University,15.4
1959,Rudy LaRusso,Dartmouth College,15.4
1968,Ron Boone,Idaho State University,15.4
1990,Mahmoud Abdul-Rauf,Louisiana State University,15.4
2004,Luol Deng,Duke University,15.4
1990,Loy Vaught,University of Michigan,15.4
1972,Lloyd Neal,Tennessee State University,15.4
2010,Larry Sanders,Virginia Commonwealth University,15.4
2004,Kris Humphries,University of Minnesota,15.4
1998,Keon Clark,"University of Nevada, Las Vegas",15.4
1966,John Block,University of Southern California,15.4
1995,Joe Smith,University of Maryland,15.4
2001,Joe Johnson,University of Arkansas,15.4
2017,Jayson Tatum,Duke University,15.4
2012,Draymond Green,Michigan State University,15.4
1995,Damon Stoudamire,University of Arizona,15.4
1962,Charlie Hardnett,Grambling State University,15.4
1994,Carlos Rogers,Tennessee State University,15.4
1981,Steve Johnson,Oregon State University,15.3
