Draft_Yr,Player,College
2003,Kyle Korver,Creighton University
2002,Jay Williams,Duke University
2002,Mike Dunleavy,Duke University
2002,Drew Gooden,University of Kansas
2002,Dajuan Wagner,University of Memphis
2002,Chris Wilcox,University of Maryland
2002,Caron Butler,University of Connecticut
2002,Jared Jeffries,Indiana University
2002,Melvin Ely,"California State University, Fresno"
2002,Fred Jones,University of Oregon
2002,Juan Dixon,University of Maryland
2002,Kareem Rush,University of Missouri
2002,Qyntel Woods,Northeast Mississippi Community College
2002,Casey Jacobsen,Stanford University
2002,Tayshaun Prince,University of Kentucky
2002,John Salmons,University of Miami
2002,Dan Dickau,Gonzaga University
2002,Roger Mason,University of Virginia
2002,Dan Gadzuric,"University of California, Los Angeles"
2002,Carlos Boozer,Duke University
2002,Ronald Murray,Shaw University
2002,Lonny Baxter,University of Maryland
2002,Matt Barnes,"University of California, Los Angeles"
2002,Darius Songaila,Wake Forest University
2002,Rasual Butler,La Salle University
2001,Jason Richardson,Michigan State University
2001,Shane Battier,Duke University
2001,Eddie Griffin,Seton Hall University
2001,Rodney White,University of North Carolina at Charlotte
2001,Joe Johnson,University of Arkansas
2001,Kedrick Brown,Okaloosa-Walton Community College
2001,Richard Jefferson,University of Arizona
2001,Troy Murphy,University of Notre Dame
2001,Steven Hunter,DePaul University
2001,Michael Bradley,Villanova University
2001,Jason Collins,Stanford University
2001,Zach Randolph,Michigan State University
2001,Brendan Haywood,University of North Carolina
2001,Gerald Wallace,University of Alabama
2001,Samuel Dalembert,Seton Hall University
2001,Jamaal Tinsley,Iowa State University
2001,Trenton Hassell,Austin Peay State University
2001,Gilbert Arenas,University of Arizona
2001,Will Solomon,Clemson University
2001,Terence Morris,University of Maryland
2001,Brian Scalabrine,University of Southern California
2001,Earl Watson,"University of California, Los Angeles"
2001,Bobby Simmons,DePaul University
2001,Loren Woods,University of Arizona
2001,Jarron Collins,Stanford University
2000,Kenyon Martin,University of Cincinnati
2000,Stromile Swift,Louisiana State University
2000,Marcus Fizer,Iowa State University
2000,Mike Miller,University of Florida
2000,DerMarr Johnson,University of Cincinnati
2000,Chris Mihm,University of Texas at Austin
2000,Jamal Crawford,University of Michigan
2000,Joel Przybilla,University of Minnesota
2000,Keyon Dooling,University of Missouri
2000,Etan Thomas,Syracuse University
2000,Courtney Alexander,"California State University, Fresno"
2000,Mateen Cleaves,Michigan State University
2000,Jason Collier,Georgia Institute of Technology
2000,Desmond Mason,Oklahoma State University
2000,Quentin Richardson,DePaul University
2000,Jamaal Magloire,University of Kentucky
2000,Speedy Claxton,Hofstra University
2000,Morris Peterson,Michigan State University
2000,Donnell Harvey,University of Florida
2000,Mark Madsen,Stanford University
2000,Jake Voskuhl,University of Connecticut
2000,Eddie House,Arizona State University
2000,Eduardo Najera,University of Oklahoma
2000,Hanno Mottola,University of Utah
2000,Michael Redd,Ohio State University
2000,Brian Cardinal,Purdue University
2000,Jason Hart,Syracuse University
1999,Elton Brand,Duke University
1999,Steve Francis,University of Maryland
1999,Baron Davis,"University of California, Los Angeles"
1999,Lamar Odom,University of Rhode Island
1999,Wally Szczerbiak,Miami University
1999,Richard Hamilton,University of Connecticut
1999,Andre Miller,University of Utah
1999,Shawn Marion,"University of Nevada, Las Vegas"
1999,Jason Terry,University of Arizona
1999,Trajan Langdon,Duke University
1999,Corey Maggette,Duke University
1999,Metta World Peace,St. John's University
1999,James Posey,Xavier University
1999,Quincy Lewis,University of Minnesota
1999,Dion Glover,Georgia Institute of Technology
1999,Jeff Foster,Texas State University
1999,Kenny Thomas,University of New Mexico
1999,Devean George,Augsburg College
1999,Vonteego Cummings,University of Pittsburgh
1999,Jumaine Jones,University of Georgia
1999,Scott Padgett,University of Kentucky
1999,Michael Ruffin,University of Tulsa
1999,Evan Eschmeyer,Northwestern University
1999,Calvin Booth,Pennsylvania State University
1999,Obinna Ekezie,University of Maryland
1999,Laron Profit,University of Maryland
1999,Francisco Elson,University of California
1999,Lee Nailon,Texas Christian University
1999,Todd MacCulloch,University of Washington
1999,Rodney Buford,Creighton University
