MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40
24.1,8.2,0.548,4.5,0,0,1.6,3.5,2.9,0.7,1.5,1.8,10.5,0.548,16.9,5.4,4.6,7.9,0.169
29.1,10.1,0.569,5.7,0,0.1,3.2,5.6,4.4,1.7,1.8,2.2,14.8,0.57,25.8,6,11.8,12.4,0.245
28.8,7.4,0.544,4,0,0.3,2.5,3.9,1.842602041,1.6,0.4,2.3,10.5,0.547,11.93196481,15.44281525,2.4,3.4,0.12
27.9,7.8,0.477,2.6,1.1,3.2,1.7,2.8,1.9,0.9,0.3,1.6,10.2,0.546,13,19.1,8.4,7.2,0.157
25.5,8.2,0.439,2.2,1.4,3.6,4.1,5,0.6,0.6,0.1,1.7,12.7,0.526,6.4,11.2,10,3,0.159
32.9,12,0.471,4.6,1.1,3.6,2.7,3.7,1.7,1.5,0.6,2.3,15.2,0.517,11.9,18.4,5.9,4.2,0.176
28.1,10.5,0.448,2.9,1.8,5,3.2,3.7,1.2,1.5,1.4,2.4,14.4,0.535,7.6,28.9,8.4,9.6,0.261
31.2,11.4,0.419,2.8,2,5.6,2.6,3.4,0.8,1.1,0.1,2.2,14.1,0.507,8.3,25.4,7.9,5.9,0.164
36.4,17.5,0.453,6.3,1.6,4.7,4.8,6.8,2.9,1.6,0.9,2.2,22.2,0.498,14,11.9,2.7,3.1,0.183
25.3,11.7,0.501,5.8,0,0.1,3.3,5.1,1.842602041,0.8,3.7,2,15.1,0.501,11.93196481,15.44281525,2.2,5.9,0.139
29.4,8.6,0.513,4,0.4,1.5,2.9,4.2,1.842602041,1.9,0.5,2.8,12.1,0.538,11.93196481,15.44281525,10.3,12.5,0.21
35,11.9,0.506,4.6,1.5,3.9,5.4,7.2,1.3,1.9,0.4,3,19,0.568,10.3,27,10,3.8,0.23
29.8,10.8,0.461,4.1,0.9,2.3,2.8,3.8,1.9,1.3,1.7,2.2,13.6,0.501,10.8,12.6,3.2,5.9,0.191
25.6,9.8,0.474,3.8,0.8,2.6,2.4,3.4,1.842602041,2,0.6,2.5,12.5,0.517,11.93196481,15.44281525,6.7,8,0.175
35.7,13.3,0.45,4.2,1.8,5,3.1,4,0.6,1.3,0.5,2.5,16.9,0.519,6.1,33.2,9.7,3.2,0.197
32.7,10.9,0.603,6.4,0.2,0.5,3.2,4.7,3.5,0.7,1.6,2.7,16.6,0.612,24.2,18.2,9.4,7.7,0.307
15.8,3.5,0.557,1.9,0,0,0.9,1.5,1.8,0.5,0.6,1,4.8,0.559,17.3,3.9,4.1,5,0.17
