,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
4919,1989,24,PHO,Anthony Cook,University of Arizona,4,116,1499,418,428,34,0.439,0,0.524,1499,3.6,3.7,0.3,1,0.033,-4.2,-0.8
4920,1989,25,CLE,John Morton,Seton Hall University,3,128,1879,609,161,342,0.386,0.224,0.787,1879,4.8,1.3,2.7,0.5,0.013,-4.7,-1.3
4922,1989,27,DET,Kenny Battle,University of Illinois at Urbana-Champaign,4,134,1795,627,327,106,0.504,0.133,0.725,1795,4.7,2.4,0.8,3.7,0.098,-0.1,0.9
4925,1989,28,MIA,Sherman Douglas,Syracuse University,12,765,21148,8425,1672,4536,0.484,0.267,0.678,21148,11,2.2,5.9,32.9,0.075,-1.5,2.6
4928,1989,31,LAC,Jeff Martin,Murray State University,2,143,2685,956,290,109,0.417,0.282,0.694,2685,6.7,2,0.8,2.1,0.038,-3.8,-1.2
4933,1989,36,POR,Clifford Robinson,University of Connecticut,18,1380,42561,19591,6306,3094,0.438,0.356,0.689,42561,14.2,4.6,2.2,89.7,0.101,0.7,28.7
4934,1989,37,ORL,Michael Ansley,University of Alabama,3,149,2143,1026,621,67,0.513,0,0.722,2143,6.9,4.2,0.4,6.4,0.142,-1.1,0.5
4935,1989,38,MIN,Doug West,Villanova University,12,676,16649,6477,1670,1292,0.481,0.191,0.801,16649,9.6,2.5,1.9,17.7,0.051,-2.5,-2.2
4940,1989,43,CLE,Chucky Brown,North Carolina State University,13,694,11962,4125,2148,549,0.491,0.227,0.699,11962,5.9,3.1,0.8,19,0.076,-3,-3
4946,1989,49,ATL,Haywoode Workman,Oral Roberts University,8,359,7202,1967,819,1410,0.419,0.323,0.764,7202,5.5,2.3,3.9,10.7,0.071,-1.2,1.5
4947,1989,50,NYK,Brian Quinnett,Washington State University,3,138,1530,474,224,76,0.414,0.326,0.677,1530,3.4,1.6,0.6,0.9,0.027,-3.7,-0.7
4949,1989,52,PHO,Greg Grant,Trenton State University,6,274,3350,767,248,751,0.383,0.281,0.71,3350,2.8,0.9,2.7,1.6,0.023,-5.6,-3
4952,1990,1,NJN,Derrick Coleman,Syracuse University,15,781,25903,12884,7232,1985,0.447,0.295,0.769,25903,16.5,9.3,2.5,64.3,0.119,1.3,21.7
4953,1990,2,SEA,Gary Payton,Oregon State University,17,1335,47117,21813,5269,8966,0.466,0.317,0.729,47117,16.3,3.9,6.7,145.5,0.148,3.3,63
4954,1990,3,DEN,Mahmoud Abdul-Rauf,Louisiana State University,9,586,15628,8553,1087,2079,0.442,0.354,0.905,15628,14.6,1.9,3.5,25.2,0.077,-2.2,-0.7
4955,1990,4,ORL,Dennis Scott,Georgia Institute of Technology,10,629,17983,8094,1774,1296,0.417,0.397,0.793,17983,12.9,2.8,2.1,33.4,0.089,-0.4,7.3
4956,1990,5,CHH,Kendall Gill,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,0.434,0.3,0.754,29481,13.4,4.1,3,47.8,0.078,0.3,16.9
4957,1990,6,MIN,Felton Spencer,University of Louisville,12,640,12298,3354,3436,213,0.484,0,0.658,12298,5.2,5.4,0.3,20.9,0.081,-2.6,-1.9
4958,1990,7,SAC,Lionel Simmons,La Salle University,7,454,13472,5833,2833,1498,0.433,0.305,0.771,13472,12.8,6.2,3.3,16.9,0.06,0.1,7.2
4959,1990,8,LAC,Bo Kimble,Loyola Marymount University,3,105,1336,574,162,98,0.386,0.291,0.728,1336,5.5,1.5,0.9,0.1,0.004,-5.2,-1.1
4960,1990,9,MIA,Willie Burton,University of Minnesota,8,316,6666,3243,932,393,0.424,0.345,0.786,6666,10.3,2.9,1.2,9.1,0.065,-2.8,-1.4
4961,1990,10,ATL,Rumeal Robinson,University of Michigan,6,336,6098,2546,606,1179,0.432,0.344,0.611,6098,7.6,1.8,3.5,5.2,0.041,-2.2,-0.3
4962,1990,11,GSW,Tyrone Hill,Xavier University,14,801,22388,7532,6854,647,0.502,0,0.643,22388,9.4,8.6,0.8,56.2,0.12,-1,5.7
4963,1990,12,HOU,Alec Kessler,University of Georgia,4,210,2937,1084,751,81,0.426,0.417,0.744,2937,5.2,3.6,0.4,2,0.033,-6.3,-3.2
4964,1990,13,LAC,Loy Vaught,University of Michigan,11,689,16993,6984,4881,652,0.504,0.244,0.718,16993,10.1,7.1,0.9,35.8,0.101,-1.6,1.8
4965,1990,14,SAC,Travis Mays,University of Texas at Austin,3,115,2964,1273,233,326,0.41,0.362,0.749,2964,11.1,2,2.8,2.4,0.039,-2.6,-0.5
4967,1990,16,MIL,Terry Mills,University of Michigan,11,678,16422,7175,3680,891,0.457,0.384,0.781,16422,10.6,5.4,1.3,33.3,0.097,-0.7,5.5
4968,1990,17,NYK,Jerrod Mustaf,University of Maryland,4,179,1902,721,452,99,0.449,0,0.648,1902,4,2.5,0.6,1.7,0.043,-4.4,-1.2
4969,1990,18,SAC,Duane Causwell,Temple University,11,541,9409,2648,2273,243,0.507,0.286,0.618,9409,4.9,4.2,0.4,15.8,0.081,-1.3,1.6
4970,1990,19,BOS,Dee Brown,Jacksonville University,12,608,16843,6758,1569,2227,0.436,0.357,0.825,16843,11.1,2.6,3.7,33.4,0.095,0.6,11
4971,1990,20,MIN,Gerald Glass,University of Mississippi,4,201,3347,1553,512,298,0.433,0.236,0.643,3347,7.7,2.5,1.5,1.8,0.025,-2.5,-0.4
4972,1990,21,PHO,Jayson Williams,St. John's University,9,475,9805,3472,3584,287,0.44,0.125,0.606,9805,7.3,7.5,0.6,20,0.098,-2,0.1
4973,1990,22,NJN,Tate George,University of Connecticut,4,177,2019,736,180,325,0.414,0.071,0.82,2019,4.2,1,1.8,1.3,0.032,-5.5,-1.8
4974,1990,23,SAC,Anthony Bonner,Saint Louis University,6,318,7372,2199,1726,442,0.468,0.125,0.59,7372,6.9,5.4,1.4,10.8,0.07,-0.5,2.8
4975,1990,24,SAS,Dwayne Schintzius,University of Florida,8,217,1950,587,536,93,0.404,0.125,0.638,1950,2.7,2.5,0.4,1,0.024,-4.9,-1.4
4976,1990,25,POR,Alaa Abdelnaby,Duke University,5,256,3200,1465,846,85,0.502,0,0.701,3200,5.7,3.3,0.3,4.8,0.072,-4.8,-2.3
4977,1990,26,DET,Lance Blanks,University of Texas at Austin,3,142,1045,289,110,117,0.436,0.253,0.667,1045,2,0.8,0.8,0.7,0.031,-3.8,-0.5
4978,1990,27,LAL,Elden Campbell,Clemson University,15,1044,25776,10805,6116,1199,0.46,0.054,0.699,25776,10.3,5.9,1.1,62.8,0.117,-0.3,10.8
4983,1990,30,MIA,Carl Herrera,University of Houston,8,465,8042,2481,1690,261,0.476,0.143,0.643,8042,5.3,3.6,0.6,9,0.054,-3.3,-2.6
4984,1990,31,PHO,Negele Knight,University of Dayton,6,276,4513,1699,351,780,0.436,0.263,0.73,4513,6.2,1.3,2.8,4.2,0.044,-4.6,-3
4985,1990,32,PHI,Brian Oliver,Georgia Institute of Technology,4,118,1182,389,123,114,0.388,0.227,0.705,1182,3.3,1,1,-0.5,-0.02,-6.4,-1.3
4988,1990,35,WSB,Greg Foster,University of Texas at El Paso,13,656,7974,2538,1691,351,0.44,0.225,0.748,7974,3.9,2.6,0.5,5.6,0.033,-5.2,-6.3
4989,1990,36,ATL,Trevor Wilson,"University of California, Los Angeles",4,103,1609,591,353,99,0.456,0,0.567,1609,5.7,3.4,1,0.8,0.023,-3.5,-0.6
4990,1990,37,WSB,A.J. English,Virginia Union University,2,151,3108,1502,315,320,0.435,0.138,0.778,3108,9.9,2.1,2.1,1.1,0.017,-5.1,-2.4
4991,1990,38,SEA,Jud Buechler,University of Arizona,12,720,8444,2385,1266,560,0.433,0.366,0.633,8444,3.3,1.8,0.8,16.5,0.094,-0.7,2.7
4992,1990,39,CHH,Steve Scheffler,Purdue University,7,174,918,331,180,26,0.558,0.2,0.759,918,1.9,1,0.1,2.9,0.153,-2.1,0
4993,1990,40,SAC,Bimbo Coles,Virginia Polytechnic Institute and State University,14,852,20319,6628,1820,3313,0.425,0.267,0.811,20319,7.8,2.1,3.9,27.4,0.065,-2.1,-0.7
4995,1990,42,DEN,Marcus Liberty,University of Illinois at Urbana-Champaign,4,267,4568,1942,925,244,0.417,0.34,0.664,4568,7.3,3.5,0.9,4,0.042,-2.9,-1.1
4996,1990,43,SAS,Tony Massenburg,University of Maryland,13,683,12291,4238,2964,266,0.47,0.091,0.705,12291,6.2,4.3,0.4,15.6,0.061,-4.6,-8
4997,1990,44,MIL,Steve Henson,Kansas State University,7,238,2282,739,176,465,0.403,0.432,0.869,2282,3.1,0.7,2,3.8,0.079,-3.9,-1.1
4998,1990,45,IND,Antonio Davis,University of Texas at El Paso,13,903,26084,9041,6755,1017,0.448,0.087,0.727,26084,10,7.5,1.1,59.6,0.11,-0.7,8.8
4999,1990,46,IND,Kenny Williams,Elizabeth City State University,4,260,2918,1247,693,161,0.511,0,0.68,2918,4.8,2.7,0.6,7.4,0.122,0,1.4
5000,1990,47,PHI,Derek Strong,Xavier University,10,456,8548,3088,2213,291,0.43,0.18,0.786,8548,6.8,4.9,0.6,18.5,0.104,-3,-2.3
5001,1990,48,PHO,Cedric Ceballos,"California State University, Fullerton",11,609,14712,8693,3258,723,0.5,0.309,0.753,14712,14.3,5.3,1.2,40.4,0.132,-0.4,6
5004,1990,51,LAL,Tony Smith,Marquette University,9,457,7295,2504,735,881,0.431,0.307,0.69,7295,5.5,1.6,1.9,6.7,0.044,-2.6,-1.1
5007,1990,54,SAS,Sean Higgins,University of Michigan,6,220,3334,1375,402,226,0.428,0.321,0.85,3334,6.3,1.8,1,0.4,0.006,-5.2,-2.7
5008,1991,1,CHH,Larry Johnson,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.766,25685,16.2,7.5,3.3,69.7,0.13,2.4,28.3
5009,1991,2,NJN,Kenny Anderson,Georgia Institute of Technology,14,858,25868,10789,2641,5196,0.421,0.346,0.79,25868,12.6,3.1,6.1,62.5,0.116,0.8,18
5010,1991,3,SAC,Billy Owens,Syracuse University,10,600,17619,7026,4016,1704,0.481,0.291,0.629,17619,11.7,6.7,2.8,28.6,0.078,0.5,11.2
5011,1991,4,DEN,Dikembe Mutombo,Georgetown University,18,1196,36791,11729,12359,1240,0.518,0,0.684,36791,9.8,10.3,1,117,0.153,2.1,38.2
5012,1991,5,MIA,Steve Smith,Michigan State University,14,942,28855,13430,3060,2922,0.44,0.358,0.845,28855,14.3,3.2,3.1,83.7,0.139,1.4,24.4
5013,1991,6,DAL,Doug Smith,University of Missouri,5,296,5833,2356,1234,400,0.425,0.083,0.773,5833,8,4.2,1.4,3,0.024,-3,-1.5
5014,1991,7,MIN,Luc Longley,University of New Mexico,10,567,12006,4090,2794,836,0.462,0,0.76,12006,7.2,4.9,1.5,17.5,0.07,-1.5,1.5
5015,1991,8,DEN,Mark Macon,Temple University,6,251,5018,1685,467,428,0.384,0.27,0.735,5018,6.7,1.9,1.7,0.1,0.001,-3.2,-1.5
5016,1991,9,ATL,Stacey Augmon,"University of Nevada, Las Vegas",15,1001,21658,7990,3216,1561,0.469,0.152,0.728,21658,8,3.2,1.6,43.8,0.097,-0.2,9.8
5017,1991,10,ORL,Bison Dele,University of Arizona,8,413,10004,4536,2564,440,0.528,0.143,0.691,10004,11,6.2,1.1,22.8,0.109,-0.3,4.4
5018,1991,11,CLE,Terrell Brandon,University of Oregon,11,724,21545,9994,2174,4407,0.448,0.355,0.873,21545,13.8,3,6.1,65.9,0.147,2.4,23.7
5019,1991,12,NYK,Greg Anthony,"University of Nevada, Las Vegas",11,757,15850,5497,1417,2997,0.403,0.349,0.733,15850,7.3,1.9,4,35.9,0.109,0,8.1
5020,1991,13,IND,Dale Davis,Clemson University,16,1094,29606,8706,8605,978,0.53,0,0.562,29606,8,7.9,0.9,86.9,0.141,1.8,28.6
5022,1991,15,ATL,Anthony Avent,Seton Hall University,6,352,6729,1958,1584,278,0.403,0,0.686,6729,5.6,4.5,0.8,0.3,0.002,-4.9,-5
5023,1991,16,GSW,Chris Gatling,Old Dominion University,11,700,13760,7232,3741,461,0.513,0.249,0.66,13760,10.3,5.3,0.7,32.1,0.112,-2.1,-0.2
5024,1991,17,GSW,Victor Alexander,Iowa State University,5,286,5755,2542,1384,257,0.518,0.286,0.634,5755,8.9,4.8,0.9,8.8,0.073,-2.6,-0.9
5025,1991,18,MIL,Kevin Brooks,University of Louisiana at Lafayette,3,126,1031,417,141,48,0.401,0.2,0.859,1031,3.3,1.1,0.4,-0.1,-0.004,-7.9,-1.5
5026,1991,19,WSB,LaBradford Smith,University of Louisville,3,183,3131,1218,271,394,0.432,0.298,0.813,3131,6.7,1.5,2.2,1.5,0.024,-4.1,-1.6
5028,1991,21,UTA,Eric Murdock,Providence College,9,508,11882,5118,1261,2467,0.438,0.343,0.786,11882,10.1,2.5,4.9,25.6,0.103,1.1,9.4
5030,1991,23,ORL,Stanley Roberts,Louisiana State University,8,300,5869,2555,1549,189,0.499,0,0.514,5869,8.5,5.2,0.6,8.1,0.066,-3.3,-1.9
5031,1991,24,BOS,Rick Fox,University of North Carolina,13,930,23723,8966,3517,2649,0.45,0.349,0.77,23723,9.6,3.8,2.8,44.7,0.09,1,17.6
5033,1991,26,CHI,Mark Randall,University of Kansas,4,127,883,332,160,56,0.443,0.154,0.722,883,2.6,1.3,0.4,1,0.054,-3.6,-0.4
5034,1991,27,SAC,Pete Chilcutt,University of North Carolina,9,584,8394,2494,1935,488,0.441,0.381,0.696,8394,4.3,3.3,0.8,10.6,0.06,-1.9,0.3
5040,1991,31,SAC,Randy Brown,New Mexico State University,12,655,11533,3148,1173,1420,0.417,0.2,0.691,11533,4.8,1.8,2.2,11,0.046,-2.2,-0.5
5042,1991,33,DAL,Donald Hodge,Temple University,5,249,3501,1182,809,191,0.437,0.286,0.711,3501,4.7,3.2,0.8,1.8,0.025,-4,-1.8
5044,1991,35,DAL,Mike Iuzzolino,Saint Francis University,2,122,3049,1096,238,522,0.457,0.404,0.798,3049,9,2,4.3,3.7,0.058,-2.8,-0.6
5045,1991,36,ORL,Chris Corchiani,North Carolina State University,3,112,1313,416,129,243,0.421,0.269,0.816,1313,3.7,1.2,2.2,1.6,0.058,-2.6,-0.2
5046,1991,37,LAC,Elliot Perry,University of Memphis,10,549,9501,3449,742,1699,0.459,0.359,0.783,9501,6.3,1.4,3.1,14,0.071,-2.2,-0.4
5049,1991,40,DET,Doug Overton,La Salle University,11,499,7275,2253,654,1038,0.412,0.319,0.816,7275,4.5,1.3,2.1,2.5,0.016,-5.4,-6.2
5054,1991,45,MIL,Bobby Phills,Southern University and A&M College,9,467,13426,5153,1469,1246,0.443,0.39,0.738,13426,11,3.1,2.7,27.2,0.097,0.5,8.6
5055,1991,46,PHO,Richard Dumas,Oklahoma State University,3,102,2226,1080,351,111,0.509,0.231,0.694,2226,10.6,3.4,1.1,4.5,0.097,-0.3,1
5057,1991,48,UTA,Isaac Austin,Arizona State University,9,432,8350,3285,2030,538,0.446,0.176,0.67,8350,7.6,4.7,1.2,9.2,0.053,-2.5,-1
5058,1991,49,SAS,Greg Sutton,Oral Roberts University,3,168,1946,761,153,284,0.396,0.361,0.743,1946,4.5,0.9,1.7,1,0.024,-4,-1
5064,1992,1,ORL,Shaquille O'Neal,Louisiana State University,19,1207,41918,28596,13099,3026,0.582,0.045,0.527,41918,23.7,10.9,2.5,181.7,0.208,5,74
5065,1992,2,CHH,Alonzo Mourning,Georgetown University,15,838,25975,14311,7137,946,0.527,0.247,0.692,25975,17.1,8.5,1.1,89.7,0.166,1.7,24
5066,1992,3,MIN,Christian Laettner,Duke University,13,868,25760,11121,5806,2224,0.48,0.261,0.82,25760,12.8,6.7,2.6,64.9,0.121,1.6,23.2
5067,1992,4,DAL,Jim Jackson,Ohio State University,14,885,29067,12690,4152,2851,0.428,0.365,0.825,29067,14.3,4.7,3.2,35.8,0.059,-0.7,9.6
5068,1992,5,DEN,LaPhonso Ellis,University of Notre Dame,11,624,17616,7410,4032,981,0.452,0.302,0.73,17616,11.9,6.5,1.6,32.8,0.089,-0.4,7.1
5069,1992,6,WSB,Tom Gugliotta,North Carolina State University,13,763,23556,9895,5589,2140,0.451,0.284,0.757,23556,13,7.3,2.8,40.2,0.082,1.1,18.7
5070,1992,7,SAC,Walt Williams,University of Maryland,11,708,18818,8385,2794,1637,0.425,0.379,0.743,18818,11.8,3.9,2.3,33.9,0.087,0.6,12.4
5071,1992,8,MIL,Todd Day,University of Arkansas,8,483,12214,5917,1649,713,0.406,0.345,0.739,12214,12.3,3.4,1.5,17.5,0.069,-1.1,2.8
5072,1992,9,PHI,Clarence Weatherspoon,University of Southern Mississippi,13,915,27736,10483,6846,1346,0.471,0.196,0.743,27736,11.5,7.5,1.5,58.4,0.101,-0.1,13.4
5073,1992,10,ATL,Adam Keefe,Stanford University,9,617,10334,3107,2556,427,0.502,0.071,0.714,10334,5,4.1,0.7,24.9,0.116,-0.1,4.9
5074,1992,11,HOU,Robert Horry,University of Alabama,16,1107,27069,7715,5269,2343,0.425,0.341,0.726,27069,7,4.8,2.1,66.3,0.118,2.7,32
5075,1992,12,MIA,Harold Miner,University of Southern California,4,200,3748,1801,432,245,0.46,0.311,0.785,3748,9,2.2,1.2,4.2,0.053,-4.1,-2
5076,1992,13,DEN,Bryant Stith,University of Virginia,10,586,16417,5946,1983,1178,0.424,0.329,0.841,16417,10.1,3.4,2,29.5,0.086,-0.6,5.8
5077,1992,14,IND,Malik Sealy,St. John's University,8,493,11720,4955,1585,816,0.426,0.292,0.809,11720,10.1,3.2,1.7,17.1,0.07,-1.4,1.7
5078,1992,15,LAL,Anthony Peeler,University of Missouri,13,827,20464,8017,2136,1956,0.427,0.384,0.799,20464,9.7,2.6,2.4,30.7,0.072,-0.8,6.1
5079,1992,16,LAC,Randy Woods,La Salle University,4,151,1093,356,93,257,0.34,0.305,0.683,1093,2.4,0.6,1.7,0.6,0.026,-3.4,-0.4
5080,1992,17,SEA,Doug Christie,Pepperdine University,15,827,26079,9301,3382,2992,0.426,0.354,0.821,26079,11.2,4.1,3.6,55.7,0.102,1.9,25.4
5081,1992,18,SAS,Tracy Murray,"University of California, Los Angeles",12,659,12103,5943,1649,508,0.43,0.388,0.829,12103,9,2.5,0.8,24.1,0.096,-1.6,1.4
5082,1992,19,DET,Don MacLean,"University of California, Los Angeles",9,319,6679,3490,1210,404,0.455,0.284,0.765,6679,10.9,3.8,1.3,9.4,0.067,-3.7,-2.9
5083,1992,20,NYK,Hubert Davis,University of North Carolina,12,685,15143,5583,1045,1172,0.458,0.441,0.837,15143,8.2,1.5,1.7,27.7,0.088,-1.8,0.7
5084,1992,21,BOS,Jon Barry,Georgia Institute of Technology,14,821,13880,4715,1513,1784,0.434,0.392,0.848,13880,5.7,1.8,2.2,37.2,0.129,0.8,9.8
5085,1992,22,PHO,Oliver Miller,University of Arkansas,9,493,11338,3625,2893,1061,0.534,0.116,0.639,11338,7.4,5.9,2.2,21.1,0.089,1.8,10.9
5086,1992,23,MIL,Lee Mayberry,University of Arkansas,7,496,10337,2546,642,1767,0.415,0.377,0.659,10337,5.1,1.3,3.6,7.9,0.036,-4.5,-6.6
5087,1992,24,GSW,Latrell Sprewell,University of Alabama,13,913,35270,16712,3724,3664,0.425,0.337,0.804,35270,18.3,4.1,4,56.3,0.077,0.4,21.7
5088,1992,25,LAC,Elmore Spencer,"University of Nevada, Las Vegas",5,157,2641,923,555,109,0.516,0,0.58,2641,5.9,3.5,0.7,0,0.001,-4.1,-1.4
5090,1992,27,CHI,Byron Houston,Oklahoma State University,4,214,2674,835,648,114,0.456,0.256,0.676,2674,3.9,3,0.5,3.9,0.069,-2.4,-0.3
5094,1992,29,NJN,P.J. Brown,Louisiana Tech University,15,1089,33823,9870,8409,1661,0.46,0.136,0.794,33823,9.1,7.7,1.5,89.8,0.128,1.4,28.6
5095,1992,30,DAL,Sean Rooks,University of Arizona,12,749,13560,4676,2877,631,0.459,0.091,0.699,13560,6.2,3.8,0.8,16.2,0.057,-2.8,-2.7
5097,1992,32,WSB,Brent Price,University of Oklahoma,9,418,7007,2481,684,1236,0.426,0.387,0.824,7007,5.9,1.6,3,12,0.082,-1.1,1.6
5099,1992,34,MIN,Chris Smith,University of Connecticut,3,224,3956,1140,291,627,0.435,0.366,0.713,3956,5.1,1.3,2.8,3.2,0.039,-4.5,-2.5
5100,1992,35,CHH,Tony Bennett,University of Wisconsin-Green Bay,3,152,1886,538,155,303,0.412,0.335,0.732,1886,3.5,1,2,1.6,0.041,-3.9,-0.9
5104,1992,39,CHI,Litterial Green,University of Georgia,5,148,1189,423,75,182,0.42,0.077,0.665,1189,2.9,0.5,1.2,1.6,0.066,-4.8,-0.8
5106,1992,41,HOU,Popeye Jones,Murray State University,11,535,12579,3726,3981,696,0.447,0.281,0.751,12579,7,7.4,1.3,22,0.084,-1.1,2.8
5107,1992,42,MIA,Matt Geiger,Georgia Institute of Technology,10,552,12221,5059,3158,388,0.499,0.232,0.728,12221,9.2,5.7,0.7,28.4,0.112,-1.5,1.6
5110,1992,45,SEA,Chris King,Wake Forest University,3,103,2058,693,311,116,0.423,0.383,0.633,2058,6.7,3,1.1,1,0.023,-2.7,-0.4
5120,1993,1,ORL,Chris Webber,University of Michigan,15,831,30847,17182,8124,3526,0.479,0.299,0.649,30847,20.7,9.8,4.2,84.7,0.132,3.9,45.9
5121,1993,2,PHI,Shawn Bradley,Brigham Young University,12,832,19531,6752,5268,573,0.457,0.103,0.716,19531,8.1,6.3,0.7,40.7,0.1,0.5,12.3
5122,1993,3,GSW,Anfernee Hardaway,University of Memphis,14,704,23711,10684,3146,3525,0.458,0.316,0.774,23711,15.2,4.5,5,61.9,0.125,2.6,27.2
5123,1993,4,DAL,Jamal Mashburn,University of Kentucky,11,611,22762,11644,3271,2414,0.418,0.345,0.766,22762,19.1,5.4,4,43.7,0.092,0.2,12.9
5124,1993,5,MIN,Isaiah Rider,"University of Nevada, Las Vegas",9,563,17851,9405,2166,1535,0.443,0.352,0.812,17851,16.7,3.8,2.7,22.8,0.061,-1.2,3.6
5125,1993,6,WSB,Calbert Cheaney,Indiana University,13,825,22007,7826,2610,1398,0.466,0.298,0.691,22007,9.5,3.2,1.7,23.1,0.05,-2.1,-0.7
5126,1993,7,SAC,Bobby Hurley,Duke University,5,269,4170,1032,283,880,0.353,0.272,0.769,4170,3.8,1.1,3.3,-1.2,-0.014,-7.5,-5.8
5127,1993,8,MIL,Vin Baker,University of Hartford,13,791,25737,11839,5867,1509,0.485,0.215,0.638,25737,15,7.4,1.9,47,0.088,-0.4,10.4
5128,1993,9,DEN,Rodney Rogers,Wake Forest University,12,866,21873,9468,3881,1722,0.451,0.347,0.69,21873,10.9,4.5,2,38.8,0.085,0.5,13.8
5129,1993,10,DET,Lindsey Hunter,Jackson State University,17,937,23253,7956,2021,2506,0.388,0.36,0.746,23253,8.5,2.2,2.7,32.9,0.068,-0.4,9.5
5130,1993,11,DET,Allan Houston,University of Tennessee,12,839,28311,14551,2434,1990,0.444,0.402,0.863,28311,17.3,2.9,2.4,55.3,0.094,-0.6,9.9
5131,1993,12,LAL,George Lynch,University of North Carolina,12,774,17683,5109,3902,1121,0.446,0.306,0.652,17683,6.6,5,1.4,32.3,0.088,0.6,11.5
5132,1993,13,LAC,Terry Dehere,Seton Hall University,6,402,7305,3235,588,1034,0.411,0.378,0.779,7305,8,1.5,2.6,7.3,0.048,-3.4,-2.6
5135,1993,16,NJN,Rex Walters,University of Kansas,7,335,4602,1547,403,569,0.441,0.361,0.809,4602,4.6,1.2,1.7,6.3,0.066,-3.3,-1.5
5136,1993,17,CHH,Greg Graham,Indiana University,5,207,2530,938,219,201,0.407,0.29,0.775,2530,4.5,1.1,1,1.3,0.025,-4.4,-1.6
5138,1993,19,BOS,Acie Earl,University of Iowa,4,193,2512,980,517,61,0.403,0,0.667,2512,5.1,2.7,0.3,0.3,0.005,-6.9,-3.1
5139,1993,20,CHH,Scott Burrell,University of Connecticut,8,383,7592,2647,1332,527,0.418,0.373,0.723,7592,6.9,3.5,1.4,16.4,0.104,1.2,6.1
5140,1993,21,POR,James Robinson,University of Alabama,7,381,6935,2882,660,715,0.394,0.348,0.666,6935,7.6,1.7,1.9,5.8,0.04,-2.7,-1.2
5141,1993,22,CLE,Chris Mills,University of Arizona,10,568,17282,6357,2808,1063,0.432,0.351,0.817,17282,11.2,4.9,1.9,37.7,0.105,0,8.8
5142,1993,23,SEA,Ervin Johnson,University of New Orleans,13,845,16989,3473,5148,387,0.505,0.2,0.605,16989,4.1,6.1,0.5,37.8,0.107,0,8.7
5143,1993,24,HOU,Sam Cassell,Florida State University,15,993,29812,15635,3221,5939,0.454,0.331,0.861,29812,15.7,3.2,6,87.5,0.141,1.4,25.4
5144,1993,25,CHI,Corie Blount,University of Cincinnati,11,644,9925,2287,2690,460,0.471,0.115,0.587,9925,3.6,4.2,0.7,18.2,0.088,-1,2.4
5149,1993,28,DAL,Lucious Harris,"California State University, Long Beach",12,800,15701,5784,1864,1130,0.426,0.348,0.79,15701,7.2,2.3,1.4,28.7,0.088,-1.9,0.5
5154,1993,33,DAL,Eric Riley,University of Michigan,5,186,1844,574,479,60,0.456,0,0.704,1844,3.1,2.6,0.3,2.5,0.066,-3,-0.5
5158,1993,37,LAL,Nick Van Exel,University of Cincinnati,13,880,28969,12658,2545,5777,0.405,0.357,0.794,28969,14.4,2.9,6.6,55.9,0.093,-0.4,11.4
5166,1993,45,UTA,Bryon Russell,"California State University, Long Beach",13,841,19805,6663,2914,1085,0.431,0.369,0.75,19805,7.9,3.5,1.3,47.4,0.115,1.7,18.5
5168,1993,47,SAS,Chris Whitney,Clemson University,11,579,10052,3738,815,1613,0.395,0.361,0.875,10052,6.5,1.4,2.8,21.2,0.101,-1.2,2
5176,1994,1,MIL,Glenn Robinson,Purdue University,11,688,25346,14234,4189,1879,0.459,0.34,0.82,25346,20.7,6.1,2.7,39.8,0.075,-0.4,10.3
5177,1994,2,DAL,Jason Kidd,University of California,19,1391,50111,17529,8725,12091,0.4,0.349,0.785,50111,12.6,6.3,8.7,138.6,0.133,4.2,78.2
5178,1994,3,DET,Grant Hill,Duke University,18,1026,34776,17137,6169,4252,0.483,0.314,0.769,34776,16.7,6,4.1,99.9,0.138,2.8,42.5
5179,1994,4,MIN,Donyell Marshall,University of Connecticut,15,957,25027,10716,6376,1305,0.435,0.35,0.731,25027,11.2,6.7,1.4,59,0.113,1,19.1
5180,1994,5,WSB,Juwan Howard,University of Michigan,19,1208,36654,16159,7428,2663,0.469,0.12,0.764,36654,13.4,6.1,2.2,59.4,0.078,-0.9,10.1
5181,1994,6,PHI,Sharone Wright,Clemson University,4,203,4531,1974,1023,118,0.456,0.083,0.618,4531,9.7,5,0.6,1.4,0.015,-5.6,-4.1
5182,1994,7,LAC,Lamond Murray,University of California,11,736,18477,8286,3033,978,0.43,0.36,0.759,18477,11.3,4.1,1.3,19.8,0.052,-1.7,1.4
5183,1994,8,SAC,Brian Grant,Xavier University,12,756,21417,7933,5622,923,0.49,0.214,0.746,21417,10.5,7.4,1.2,54.5,0.122,-0.1,10.4
5184,1994,9,BOS,Eric Montross,University of North Carolina,8,465,8479,2071,2159,207,0.49,0,0.478,8479,4.5,4.6,0.4,8.5,0.048,-3.4,-3
5185,1994,10,LAL,Eddie Jones,Temple University,14,954,32778,14155,3857,2812,0.437,0.373,0.809,32778,14.8,4,2.9,100.6,0.147,3.5,45.1
