,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
1932,1974,42,PHI,Harvey Catchings,Hardin-Simmons University,11,725,13182,2335,3639,608,0.435,0,0.647,13182,3.2,5,0.8,21.2,0.077,-0.1,6.4
1934,1974,44,SEA,Tal Skinner,University of Maryland Eastern Shore,2,145,2798,660,608,152,0.434,0,0.633,2798,4.6,4.2,1,3.4,0.058,-2.6,-0.4
1935,1974,45,BUF,Kim Hughes,University of Wisconsin,5,341,5719,932,1592,319,0.449,0,0.333,5719,2.7,4.7,0.9,7.1,0.059,0.5,3.6
1939,1974,49,PHO,Earl Williams,Winston-Salem State University,4,146,1882,664,814,126,0.432,0,0.475,1882,4.5,5.6,0.9,2.7,0.069,-1.7,0.1
1942,1974,52,CHI,Bobby Wilson,Wichita State University,4,143,1498,792,167,110,0.426,0,0.773,1498,5.5,1.2,0.8,1.7,0.053,-4.3,-0.9
1948,1974,56,POR,Mickey Johnson,Aurora University,12,904,25005,12748,6465,2677,0.449,0.165,0.8,25005,14.1,7.2,3,58.6,0.113,1.5,21.9
2062,1974,160,BOS,Al Skinner,University of Massachusetts Amherst,4,203,4460,1884,673,526,0.437,0,0.808,4460,9.3,3.3,2.6,6.2,0.067,-0.3,1.9
2073,1974,169,SEA,Rod Derline,Seattle University,2,107,1005,518,86,71,0.419,0,0.786,1005,4.8,0.8,0.7,0.8,0.039,-6.6,-1.2
2083,1975,1,ATL,David Thompson,North Carolina State University,8,509,16305,11264,1921,1631,0.504,0.277,0.778,16305,22.1,3.8,3.2,50.8,0.15,1.1,12.7
2084,1975,2,LAL,Dave Meyers,"University of California, Los Angeles",4,281,7471,3149,1771,652,0.461,0.2,0.676,7471,11.2,6.3,2.3,13.4,0.086,-0.3,3.1
2085,1975,3,ATL,Marvin Webster,Morgan State University,9,579,12966,4137,4044,722,0.489,0.333,0.617,12966,7.1,7,1.2,28.1,0.104,0.6,8.6
2086,1975,4,PHO,Alvan Adams,University of Oklahoma,13,988,27203,13910,6937,4012,0.498,0.133,0.788,27203,14.1,7,4.1,73.5,0.13,3.7,39.3
2088,1975,6,POR,Lionel Hollins,Arizona State University,10,673,18453,7809,1601,3006,0.444,0.149,0.741,18453,11.6,2.4,4.5,22.9,0.059,-1.5,2.3
2089,1975,7,NOJ,Rich Kelley,Stanford University,11,814,17711,6199,5678,2092,0.488,0,0.783,17711,7.6,7,2.6,42.5,0.115,2.4,19.8
2090,1975,8,LAL,Junior Bridgeman,University of Louisville,12,849,21257,11517,2995,2066,0.475,0.244,0.846,21257,13.6,3.5,2.4,45,0.102,-1,5.4
2092,1975,10,KCK,Bill Robinzine,DePaul University,7,529,11432,5541,3209,560,0.482,0.25,0.749,11432,10.5,6.1,1.1,23.3,0.098,-0.9,3.2
2093,1975,11,HOU,Joe Meriweather,Southern Illinois University,10,670,14807,5439,3764,603,0.511,0.333,0.687,14807,8.1,5.6,0.9,27.6,0.09,-1,3.9
2094,1975,12,SEA,Frank Oleynick,Seattle University,2,102,1166,508,90,113,0.386,0,0.708,1166,5,0.9,1.1,-0.1,-0.005,-7.2,-1.5
2096,1975,14,GSW,Joe Bryant,La Salle University,8,606,12845,5252,2441,1049,0.45,0.2,0.743,12845,8.7,4,1.7,12.9,0.048,-1.8,0.8
2097,1975,15,CLE,John Lambert,University of Southern California,7,446,5564,1688,1493,248,0.428,0.083,0.693,5564,3.8,3.3,0.6,6.9,0.06,-2.6,-0.8
2098,1975,16,PHO,Ricky Sobers,"University of Nevada, Las Vegas",11,821,22992,10902,2132,3525,0.459,0.291,0.843,22992,13.3,2.6,4.3,32,0.067,-1.1,5
2099,1975,17,BOS,Tom Boswell,University of South Carolina,6,366,7046,2821,1709,591,0.533,0.545,0.724,7046,7.7,4.7,1.6,15.2,0.104,0.1,3.7
2100,1975,18,WSB,Kevin Grevey,University of Kentucky,10,672,15246,7364,1594,1247,0.437,0.334,0.817,15246,11,2.4,1.9,26.5,0.083,-1.6,1.4
2104,1975,20,GSW,Gus Williams,University of Southern California,11,825,25645,14093,2222,4597,0.461,0.238,0.756,25645,17.1,2.7,5.6,67.9,0.127,1.9,25.5
2105,1975,21,SEA,Bruce Seals,Xavier University of Louisiana,3,235,5734,2422,1087,293,0.435,0,0.675,5734,10.3,4.6,1.2,7,0.058,-3,-1.5
2107,1975,23,PHI,World B. Free,Guilford College,13,886,26893,17955,2430,3319,0.456,0.337,0.753,26893,20.3,2.7,3.7,67.7,0.121,0.1,14.6
2109,1975,25,POR,Bob Gross,"California State University, Long Beach",8,513,12575,4567,2253,1481,0.512,0.179,0.798,12575,8.9,4.4,2.9,30.7,0.117,2.4,13.9
2112,1975,28,CLE,Dan Roundfield,Central Michigan University,11,746,23443,11318,7243,1620,0.485,0.115,0.738,23443,15.2,9.7,2.2,65.2,0.134,2.4,25.9
2114,1975,30,CHI,Steve Green,Indiana University,3,153,1632,705,300,97,0.438,0,0.704,1632,4.6,2,0.6,2.2,0.065,-3.4,-0.6
2115,1975,31,KCK,Glenn Hansen,Louisiana State University,3,112,1447,588,247,93,0.412,0,0.725,1447,5.3,2.2,0.8,1,0.034,-3.9,-0.7
2116,1975,32,CHI,John Laskowski,Indiana University,2,118,2132,832,282,99,0.398,0,0.76,2132,7.1,2.4,0.8,2,0.046,-5.1,-1.7
2124,1975,38,NOJ,Jim McElroy,Central Michigan University,7,418,10178,4120,820,1462,0.468,0.206,0.764,10178,9.9,2,3.5,14,0.066,-2.3,-0.8
2133,1975,47,HOU,Rudy White,Arizona State University,5,124,1185,384,120,112,0.408,0,0.742,1185,3.1,1,0.9,0.2,0.008,-5.1,-0.9
2136,1975,50,POR,Gus Gerard,University of Virginia,5,280,3524,1607,719,224,0.436,0.143,0.649,3524,5.7,2.6,0.8,5.3,0.072,-2,0
2137,1975,51,GSW,Robert Hawkins,Illinois State University,4,103,2005,1313,240,150,0.453,0,0.704,2005,12.7,2.3,1.5,3,0.072,-0.2,0.9
2140,1975,54,PHO,Bayard Forrest,Grand Canyon University,2,139,2130,569,565,296,0.449,0,0.509,2130,4.1,4.1,2.1,2.7,0.06,-0.8,0.6
2144,1975,56,LAL,C.J. Kupec,University of Michigan,3,147,1589,606,313,108,0.427,0,0.772,1589,4.1,2.1,0.7,1.8,0.053,-4.2,-0.9
2150,1975,62,CLE,Eric Fernsten,University of San Francisco,6,218,1643,517,372,82,0.445,0,0.675,1643,2.4,1.7,0.4,3.3,0.098,-1.7,0.1
2165,1975,75,ATL,Wilbur Holland,University of New Orleans,4,276,8171,3760,842,922,0.452,0,0.799,8171,13.6,3.1,3.3,14,0.082,-0.2,3.7
2184,1975,92,LAL,Don Ford,"University of California, Santa Barbara",7,474,9301,3016,1691,647,0.464,0.143,0.773,9301,6.4,3.6,1.4,12.7,0.066,-2,0
2207,1975,113,PHI,Mike Flynn,University of Kentucky,2,144,2279,896,304,321,0.44,0,0.653,2279,6.2,2.1,2.2,2.6,0.054,-2.5,-0.3
2232,1975,136,CLE,Andre McCarter,"University of California, Los Angeles",3,103,1182,392,95,172,0.431,0.25,0.725,1182,3.8,0.9,1.7,1.1,0.046,-4.5,-0.7
2275,1976,1,HOU,John Lucas,University of Maryland,14,928,25556,9951,2151,6454,0.449,0.303,0.776,25556,10.7,2.3,7,53.7,0.101,-0.4,10.3
2276,1976,2,CHI,Scott May,Indiana University,7,355,8029,3690,1450,610,0.462,0,0.811,8029,10.4,4.1,1.7,17.4,0.104,-1,2
2277,1976,3,KCK,Richard Washington,"University of California, Los Angeles",6,351,7874,3456,2204,409,0.453,0.25,0.711,7874,9.8,6.3,1.2,10.8,0.066,-2.3,-0.6
2278,1976,4,DET,Leon Douglas,University of Alabama,7,456,10111,3587,2954,479,0.495,0,0.601,10111,7.9,6.5,1.1,15.2,0.072,-1.6,1.1
2279,1976,5,POR,Wally Walker,University of Virginia,8,565,10168,3968,1759,844,0.467,0.2,0.643,10168,7,3.1,1.5,12.9,0.061,-2.3,-0.8
2280,1976,6,BUF,Adrian Dantley,University of Notre Dame,15,955,34151,23177,5455,2830,0.54,0.171,0.818,34151,24.3,5.7,3,134.2,0.189,3.1,44
2281,1976,7,MIL,Quinn Buckner,Indiana University,10,719,16245,5929,1969,3114,0.461,0.184,0.657,16245,8.2,2.7,4.3,24.7,0.073,0.5,10.2
2282,1976,8,GSW,Robert Parish,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0,0.721,45704,14.5,9.1,1.4,147,0.154,1.6,41.5
2283,1976,9,ATL,Armond Hill,Princeton University,8,468,11785,3214,917,2194,0.408,0.077,0.829,11785,6.9,2,4.7,11.3,0.046,-2.4,-1.1
2284,1976,10,PHO,Ron Lee,University of Oregon,6,448,9586,3285,1219,1688,0.416,0.321,0.705,9586,7.3,2.7,3.8,10.7,0.054,0,5
2285,1976,11,SEA,Bob Wilkerson,Indiana University,7,536,14883,5424,2236,1835,0.425,0.167,0.751,14883,10.1,4.2,3.4,8.2,0.027,-1.8,0.6
2286,1976,12,PHI,Terry Furlow,Michigan State University,4,239,4809,2550,507,568,0.459,0.293,0.862,4809,10.7,2.1,2.4,7.3,0.073,-1.8,0.3
2287,1976,13,WSB,Mitch Kupchak,University of North Carolina,9,510,9905,5202,2730,377,0.523,0,0.704,9905,10.2,5.4,0.7,27.1,0.131,-1.2,2
2288,1976,14,WSB,Larry Wright,Grambling State University,6,343,6834,2824,550,1165,0.465,0.261,0.777,6834,8.2,1.6,3.4,10.6,0.074,-1.9,0.2
