FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
5.2,0.399,3.6,8.1,0.441,3,3.8,1.4,3.4,4.8,0.4,15,22.9,0.505,0.461,0.291,8.6,0.9,28.6,0.129
3,0.504,3,5.9,0.505,3.3,4.5,1.8,3.2,5,1.4,9.3,22,0.575,0.504,0.756,13.7,6.7,22.8,0.176
3.5,0.542,3.3,5.9,0.563,1.4,2.7,1.7,3,4.8,1.8,8.7,22.9,0.557,0.56,0.405,14.5,6.5,25.1,0.183
5.2,0.512,4.7,8.6,0.541,3.5,4.5,1.8,3.2,5,0.5,14.3,22.9,0.585,0.537,0.45,10.5,1.2,23.8,0.188
5.9,0.616,5.9,9.6,0.616,3.8,6.1,3.5,6,9.6,3.3,15.7,22.9,0.626,0.616,0.638,12,2.848859935,24.24136808,0.355
6.2,0.495,5.5,10.4,0.533,5.9,7.3,2.2,3.6,5.8,0.4,19,27.8,0.592,0.522,0.579,11.3,1.2,30,0.206
4.4,0.497,4.3,8.5,0.505,1.6,3.2,2.5,5.7,8.1,2.5,10.3,23.3,0.501,0.5,0.365,17.6,10.3,22.7,0.166
3.5,0.574,3.5,6.1,0.574,2.3,3.2,2.3,5.5,7.7,2.3,9.4,22.9,0.612,0.574,0.515,20.5,9.9,21,0.282
4.7,0.432,3.4,7.5,0.457,1.1,1.9,1,1.9,2.9,0.5,11.6,22.9,0.496,0.489,0.179,5.1,1.6,20.4,0.127
4.9,0.425,3,6.1,0.5,2.6,3.6,0.6,3.5,4.1,0.3,14.3,18.3,0.539,0.507,0.308,7.9,1,25.2,0.138
2.5,0.409,1.5,3.1,0.497,1.1,1.6,0.9,2.5,3.4,0.3,7,22.9,0.516,0.486,0.26,10.1,0.9,21.2,0.128
