G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
103,67,27.2,3.3,7,0.472,3.2,6.6,0.485,0.1,0.4,0,1.6,2.5,0.649,2.5,3.8,6.3,1.5,0.8,2.8,1.5,2.2,8.4,7.6,22.9,0.511,0.481,0.062,0.357,13.4,10.9,9.2,15.1,18.3,3.7,7.1,10.8,0.154
102,101,34.5,5.4,11.5,0.465,4.4,8.2,0.536,1,3.3,0.29,4.2,5.8,0.723,1.2,3.5,4.8,4.4,1.7,0.3,2.3,2.1,15.9,0.84,22.8,0.556,0.507,0.286,0.506,8.4,25.9,1,13.8,23.7,11.2,3.9,15.1,0.172
37,35,27.1,6,11.8,0.508,5.4,10.1,0.535,0.6,1.7,0.349,1.8,2.7,0.68,2.6,4,6.7,0.5,0.4,1.8,1.5,2.2,14.4,7.97,22.9,0.551,0.533,0.144,0.229,12,15.2,2.848859935,10.2,24.24136808,2.3,2.9,5.3,0.211
62,62,27.4,5.9,10.4,0.567,5.7,9.8,0.587,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.79,22.9,0.601,0.575,0.063,0.43,21.7,11,1.8,19,29.6,6.1,4.6,10.6,0.251
31,24,28.9,6.2,11.7,0.532,6.2,11.6,0.533,0,0.1,0,2.4,3.2,0.755,2,4.4,6.4,1.9,0.5,1.7,2.5,2.3,14.9,6.5,22.9,0.563,0.533,0.008,0.27,13.2,14,4.3,16,25.8,2,2.4,4.4,0.198
105,65,28.3,3.6,7.1,0.516,3.2,5.7,0.555,0.5,1.4,0.35,1.9,3.2,0.582,2.9,7,10,1.1,1.6,1.4,1.7,2.6,9.6,6.43,23.5,0.561,0.549,0.193,0.459,21,8.4,5.4,16.9,19,6.2,7.5,13.7,0.185
32,32,36.1,6,13.3,0.452,5.5,10.9,0.506,0.5,2.5,0.215,2.9,4.3,0.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,6.98,21.1,0.504,0.472,0.185,0.326,14,9.6,4.2,14,24.9,1.8,1.3,3.2,0.109
129,117,29.8,4.8,10.1,0.471,2.1,4.3,0.488,2.7,5.8,0.458,3,3.5,0.87,0.4,1.8,2.2,2,0.8,0.1,2,2.2,15.2,9.02,22.9,0.646,0.602,0.572,0.342,4.1,13.3,0.2,14.7,22.3,14.1,2.8,17,0.176
88,82,28.2,5.6,9.2,0.601,5.6,9.2,0.602,0,0,0,3.9,7,0.553,3.4,4.6,8,0.6,0.6,2.6,2.4,3.4,15,6.73,22.9,0.596,0.601,0.001,0.754,12,15.2,2.848859935,16.1,24.24136808,7.7,6.7,14.4,0.232
91,91,35.1,6.8,11.9,0.571,6.3,10.7,0.591,0.5,1.2,0.387,7.4,9.4,0.786,3.4,5.5,8.8,1.2,0.4,1.7,3.4,2.8,21.4,6.66,22.9,0.655,0.59,0.098,0.791,14.6,9.3,3.9,17,27.6,15,5.5,20.5,0.257
38,38,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,8.91,19.3,0.553,0.508,0.45,0.333,6.3,23.4,0.6,16.8,27,3.6,1.8,5.3,0.157
98,74,30.6,5.3,11.2,0.468,2.1,4.1,0.521,3.1,7.1,0.438,3.3,3.8,0.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,7.59,23.6,0.648,0.607,0.634,0.339,5.2,8.2,0.9,9.2,24.2,12.5,3,15.5,0.206
63,62,33.5,4.4,9.3,0.472,3,6.4,0.473,1.4,2.9,0.47,4.9,5.8,0.838,0.7,3.2,3.9,6.3,2.5,0.2,2.7,2.6,15,10.65,22.9,0.622,0.545,0.311,0.62,6.6,32.3,0.4,18.3,20.6,6.3,3.1,9.4,0.178
37,32,31.1,5.7,11.9,0.476,4.6,8.9,0.515,1.1,3,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,10.86,22.9,0.551,0.522,0.252,0.313,12.6,11.8,2.3,14.1,24.7,2.4,3.2,5.6,0.195
98,96,34.4,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.39,3.2,3.9,0.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9,6.32,23.6,0.55,0.509,0.438,0.27,8.7,20.3,2.7,15.3,31.9,7.9,5.5,13.4,0.159
