G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
103,79,25.3,4.4,9.7,0.458,3.8,7.6,0.493,0.7,2,0.329,2.7,3.9,0.706,1.2,3,4.2,1.8,1,0.7,1.9,1.7,12.3,9.61,22.9,0.533,0.493,0.211,0.4,9.5,14.5,1.9,13.9,25.4,4.3,6.7,11.1,0.17
91,78,27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0,2.8,4.6,0.619,3,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,5.38,17.7,0.501,0.47,0.028,0.434,16,10.2,3,18.8,28.2,1.9,3.9,5.8,0.094
70,59,32.9,5.7,12,0.471,4.6,8.4,0.546,1.1,3.6,0.299,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,4.2,22.1,0.549,0.517,0.302,0.311,11.9,18.4,1.9,14.5,24.9,5.9,4.2,10.1,0.176
148,147,33,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5,0.363,3.4,4.3,0.773,2.4,4.4,6.9,2,1.1,0.7,2.1,2.6,16.2,8.97,21.6,0.548,0.504,0.392,0.342,11.6,11.9,1.8,12.6,24.7,13.5,12.2,25.7,0.21
36,36,32.4,3.8,8.9,0.422,2.3,5.4,0.429,1.4,3.5,0.413,1.4,2,0.699,0.6,2.9,3.6,3,1,0.3,1.5,1.8,10.4,7.96,15.1,0.526,0.503,0.391,0.227,6,17.3,0.9,13.1,17.3,2.2,2.2,4.4,0.152
103,100,25.9,3.7,6.4,0.578,3.7,6.4,0.578,0,0,0,1.9,3.4,0.559,3.1,3.8,7,0.8,0.5,2.2,1.3,1.9,9.3,7.32,22.9,0.58,0.578,0,0.528,13.4,4.6,4.7,14.2,15.7,5.1,9.1,14.2,0.213
62,34,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.274,2.5,3.3,0.738,2.2,4.4,6.6,3.4,1.5,0.5,2.1,2.2,9.6,7.79,22.9,0.511,0.458,0.242,0.427,13.7,21.1,1.1,18.5,20.1,1.4,4,5.4,0.137
75,74,32.1,5.3,11,0.482,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.806,1.1,3.6,4.7,1.7,1,0.6,1.6,1.6,14.1,9.25,21.3,0.58,0.553,0.406,0.217,8.2,11.2,1.9,11.6,22.2,6.9,2.9,9.9,0.164
108,78,21.1,3.8,6.2,0.616,3.8,6.2,0.617,0,0,0,2.9,4.2,0.684,2,4.4,6.4,1.7,0.9,1.7,1.8,2,10.5,6.65,22.9,0.642,0.617,0.003,0.679,16.5,16,6.4,18,24.2,8.7,9,17.7,0.31
110,96,28.5,4,8.3,0.486,2.4,4.4,0.545,1.6,3.9,0.419,2.5,3.2,0.767,0.3,2.5,2.8,3.8,2.6,0.4,2.4,2.4,12.2,7.56,22.9,0.619,0.584,0.47,0.389,5.3,22.7,0.8,19.3,21.8,9.5,9,18.5,0.236
35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.404,6,7.3,0.816,3,8.1,11.1,1.3,1.9,1.9,2.8,2,25.8,6.12,22.9,0.587,0.536,0.314,0.396,16.5,8.6,3.5,11.4,33.2,4.7,4.1,8.8,0.28
135,58,15.8,1.9,3.5,0.557,1.9,3.5,0.557,0,0,0,0.9,1.5,0.625,1.8,3,4.8,0.3,0.5,0.6,1,2.3,4.8,8.75,18.5,0.575,0.559,0.002,0.426,17.3,3.9,3.7,19.6,16.2,4.1,5,9.1,0.17
54,53,32.5,5.9,12,0.492,5.9,11.9,0.495,0.1,0.2,0,5.9,8.8,0.672,3.4,6.4,9.8,1.1,0.8,0.6,2.2,2.4,17.8,7.74,22.9,0.549,0.495,0.015,0.731,18.6,8.2,1.4,12,29.8,4.4,3.8,8.2,0.186
105,42,18.7,3.8,7.2,0.525,3.7,7,0.525,0.1,0.1,0,2.2,3.6,0.606,2.1,5.2,7.3,1,0.6,0.7,1.6,2.1,9.8,8.6,26.1,0.55,0.529,0.019,0.502,22.8,11,3.9,15.6,28.3,5.1,5.5,10.6,0.217
69,67,31,5,11.4,0.44,2.9,5.7,0.503,2.1,5.6,0.376,2.7,3.5,0.788,1,2.3,3.3,2,1.6,0.3,1.6,2,14.9,9.96,21,0.571,0.533,0.495,0.306,6.3,13.5,1.1,11,24.6,6.2,3.6,9.8,0.183
121,97,23.5,3.5,7.5,0.471,3.1,6.1,0.504,0.4,1.4,0.325,2.7,4.3,0.636,1.3,2.5,3.8,2.7,1.6,0.2,2.3,3.1,10.2,0.37,22.9,0.537,0.501,0.184,0.574,9.3,25.6,0.8,19.3,26.6,6,6.3,12.3,0.173
104,40,21.1,3,5.5,0.553,2.9,5,0.581,0.2,0.5,0.291,1.2,2.2,0.533,2.1,3.2,5.3,1.7,1.2,1.1,1.7,2.1,7.4,7.11,22.9,0.566,0.567,0.096,0.396,15,16.6,3.8,20.2,20.5,4.3,7.4,11.7,0.213
105,95,27,4.4,8.5,0.517,3.3,5.9,0.568,1.1,2.6,0.403,3.2,4.1,0.78,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2,13.1,8.59,22.9,0.624,0.579,0.31,0.482,5.4,34.4,0.2,16.6,21.5,9,6.7,15.7,0.221
140,135,32.3,5.6,12.7,0.44,3.8,8.1,0.473,1.7,4.6,0.38,2.4,3.3,0.729,1.1,3.3,4.4,2.9,1.2,0.4,2.1,2.3,15.3,7.64,22.6,0.536,0.508,0.36,0.258,8,20.2,1.2,12.7,27.5,9.9,9.4,19.3,0.171
61,59,29.9,5.8,11.2,0.515,4.9,8.4,0.587,0.8,2.8,0.296,2.5,3.6,0.693,2.8,5.5,8.3,1.6,1.4,1.4,2.5,3,14.8,8.09,22.9,0.575,0.551,0.248,0.32,15.2,9.2,3.3,16.2,25.7,4.6,5.4,10,0.219
35,35,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1,0.167,2.7,4.2,0.646,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,9.15,22.9,0.555,0.531,0.098,0.401,12,15.2,2.848859935,14.3,24.24136808,2.4,1.7,4.1,0.14
133,126,24.7,2.8,6.1,0.455,2.4,4.9,0.483,0.4,1.2,0.338,1.9,2.6,0.709,1.1,1.9,3.1,2.3,0.9,0.2,1.5,2.7,7.8,9.13,22.9,0.532,0.488,0.195,0.435,7,17.4,0.6,16.7,18.1,3.7,6.3,10,0.121
72,52,30.2,5.2,10.6,0.492,3.8,6.5,0.581,1.4,4.1,0.35,2.7,4,0.683,2.1,5.4,7.6,1.8,1.9,0.9,1,2.5,14.6,8,26.7,0.584,0.56,0.386,0.377,14.5,12.5,3.2,7.6,21.9,7.8,4.8,12.6,0.233
104,103,32.7,5,10.9,0.457,3,5.5,0.539,2,5.4,0.373,2.8,3.6,0.781,0.6,2.8,3.5,1.9,0.6,0.2,2,2.1,14.8,8.4,22.9,0.586,0.549,0.493,0.33,7.3,12.5,0.4,13.5,22,9.7,4.1,13.8,0.163
99,52,28,4.6,9.9,0.465,3.4,6.4,0.527,1.2,3.5,0.351,2.3,3,0.753,1.4,3,4.4,3.5,0.8,0.5,2.1,1.7,12.7,7.25,23.9,0.56,0.527,0.352,0.302,9.2,26.8,1.6,15.3,24.8,7.9,2.9,10.8,0.156
139,134,34,5.9,13.7,0.433,2.6,5.6,0.472,3.3,8.1,0.406,4.8,5.2,0.912,0.5,2.2,2.7,2.2,1.1,0.1,2.1,1.6,19.9,9.51,22.9,0.615,0.553,0.591,0.381,4.3,12.7,0.1,11.6,25.7,18.4,5.1,23.5,0.199
